 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
         613300 ┊     22.55% ┊ export "canister_query query"
            523 ┊      0.02% ┊                                           ⤷ code[1344]
            420 ┊      0.02% ┊                                           ⤷ code[1590]
             98 ┊      0.00% ┊                                           ⤷ code[3181]
            410 ┊      0.02% ┊                                   ⤷ code[1702]
           5218 ┊      0.19% ┊                               ⤷ code[271]
           1069 ┊      0.04% ┊                                   ⤷ code[1592]
            298 ┊      0.01% ┊                                       ⤷ code[2315]
            263 ┊      0.01% ┊                                       ⤷ code[2459]
             73 ┊      0.00% ┊                                       ⤷ code[3397]
            352 ┊      0.01% ┊                                   ⤷ code[2090]
            330 ┊      0.01% ┊                                   ⤷ code[2069]
            300 ┊      0.01% ┊                                   ⤷ code[2229]
            254 ┊      0.01% ┊                                   ⤷ code[2434]
            236 ┊      0.01% ┊                                   ⤷ code[2512]
            177 ┊      0.01% ┊                                   ⤷ code[2789]
            172 ┊      0.01% ┊                                   ⤷ code[2836]
            169 ┊      0.01% ┊                                   ⤷ code[2848]
            158 ┊      0.01% ┊                                   ⤷ code[2943]
            156 ┊      0.01% ┊                                   ⤷ code[2881]
             73 ┊      0.00% ┊                                   ⤷ code[3352]
             71 ┊      0.00% ┊                                   ⤷ code[3453]
             44 ┊      0.00% ┊                                   ⤷ code[3713]
             24 ┊      0.00% ┊                                   ⤷ code[3985]
           4750 ┊      0.17% ┊                               ⤷ code[2011]
           3945 ┊      0.15% ┊                                   ⤷ code[1775]
           3551 ┊      0.13% ┊                                       ⤷ code[234]
            913 ┊      0.03% ┊                                           ⤷ code[575]
            555 ┊      0.02% ┊                                           ⤷ code[1204]
            357 ┊      0.01% ┊                                           ⤷ code[1831]
            452 ┊      0.02% ┊                                   ⤷ code[1536]
           4583 ┊      0.17% ┊                               ⤷ code[3193]
           4491 ┊      0.17% ┊                                   ⤷ code[167]
           2085 ┊      0.08% ┊                                       ⤷ code[642]
           1216 ┊      0.04% ┊                                           ⤷ code[368]
            236 ┊      0.01% ┊                                       ⤷ code[2497]
           3738 ┊      0.14% ┊                               ⤷ code[1535]
           3263 ┊      0.12% ┊                                   ⤷ code[258]
            840 ┊      0.03% ┊                                       ⤷ code[665]
            453 ┊      0.02% ┊                                       ⤷ code[1581]
            356 ┊      0.01% ┊                                       ⤷ code[1830]
            507 ┊      0.02% ┊                               ⤷ code[1607]
             73 ┊      0.00% ┊                                   ⤷ code[3402]
            431 ┊      0.02% ┊                               ⤷ code[1589]
            415 ┊      0.02% ┊                               ⤷ code[1684]
            413 ┊      0.02% ┊                               ⤷ code[1617]
          12898 ┊      0.47% ┊                           ⤷ code[625]
           3856 ┊      0.14% ┊                               ⤷ code[1866]
           3479 ┊      0.13% ┊                                   ⤷ code[897]
           1612 ┊      0.06% ┊                                       ⤷ code[1999]
            919 ┊      0.03% ┊                                           ⤷ code[1368]
            411 ┊      0.02% ┊                                               ⤷ code[1736]
            347 ┊      0.01% ┊                                           ⤷ code[1912]
           1084 ┊      0.04% ┊                                       ⤷ code[1000]
         359194 ┊     13.21% ┊ [3 Unreachable Items]
