 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
         579353 ┊     20.12% ┊ export "canister_query query"
            879 ┊      0.03% ┊                                       ⤷ code[676]
            523 ┊      0.02% ┊                                       ⤷ code[1422]
            420 ┊      0.01% ┊                                       ⤷ code[1675]
             98 ┊      0.00% ┊                                       ⤷ code[3319]
            410 ┊      0.01% ┊                                   ⤷ code[1795]
           5145 ┊      0.18% ┊                               ⤷ code[295]
            996 ┊      0.03% ┊                                   ⤷ code[1678]
            298 ┊      0.01% ┊                                       ⤷ code[2425]
            263 ┊      0.01% ┊                                       ⤷ code[2568]
            352 ┊      0.01% ┊                                   ⤷ code[2196]
            330 ┊      0.01% ┊                                   ⤷ code[2175]
            300 ┊      0.01% ┊                                   ⤷ code[2339]
            254 ┊      0.01% ┊                                   ⤷ code[2543]
            236 ┊      0.01% ┊                                   ⤷ code[2623]
            177 ┊      0.01% ┊                                   ⤷ code[2908]
            172 ┊      0.01% ┊                                   ⤷ code[2958]
            169 ┊      0.01% ┊                                   ⤷ code[2970]
            158 ┊      0.01% ┊                                   ⤷ code[3070]
            156 ┊      0.01% ┊                                   ⤷ code[3005]
             73 ┊      0.00% ┊                                   ⤷ code[3502]
             71 ┊      0.00% ┊                                   ⤷ code[3601]
             44 ┊      0.00% ┊                                   ⤷ code[3872]
             24 ┊      0.00% ┊                                   ⤷ code[4149]
           4694 ┊      0.16% ┊                               ⤷ code[1056]
           3551 ┊      0.12% ┊                                   ⤷ code[256]
            913 ┊      0.03% ┊                                       ⤷ code[616]
            555 ┊      0.02% ┊                                       ⤷ code[1277]
            357 ┊      0.01% ┊                                       ⤷ code[1923]
            452 ┊      0.02% ┊                                   ⤷ code[1620]
           4583 ┊      0.16% ┊                               ⤷ code[3331]
           4491 ┊      0.16% ┊                                   ⤷ code[189]
           2085 ┊      0.07% ┊                                       ⤷ code[686]
           1216 ┊      0.04% ┊                                           ⤷ code[398]
            236 ┊      0.01% ┊                                       ⤷ code[2607]
           3824 ┊      0.13% ┊                               ⤷ code[203]
           1788 ┊      0.06% ┊                                   ⤷ code[1001]
            990 ┊      0.03% ┊                                       ⤷ code[1002]
            298 ┊      0.01% ┊                                           ⤷ code[2436]
             74 ┊      0.00% ┊                                       ⤷ code[3526]
           3738 ┊      0.13% ┊                               ⤷ code[1623]
           3263 ┊      0.11% ┊                                   ⤷ code[282]
            840 ┊      0.03% ┊                                       ⤷ code[708]
            453 ┊      0.02% ┊                                       ⤷ code[1667]
            356 ┊      0.01% ┊                                       ⤷ code[1922]
           3262 ┊      0.11% ┊                               ⤷ code[2627]
           3049 ┊      0.11% ┊                                   ⤷ code[339]
           1563 ┊      0.05% ┊                                       ⤷ code[308]
           1592 ┊      0.06% ┊                               ⤷ code[966]
            885 ┊      0.03% ┊                                   ⤷ code[1163]
            267 ┊      0.01% ┊                                       ⤷ code[2579]
            835 ┊      0.03% ┊                               ⤷ code[2838]
            392 ┊      0.01% ┊                                   ⤷ code[2067]
             41 ┊      0.00% ┊                                       ⤷ code[3858]
         367690 ┊     12.77% ┊ [3 Unreachable Items]
