artifact,kind,reported_calls,total_instructions,instructions_per_endpoint
typed,0,39,197881827,5073893
typed,1,39,199571619,5117221
typed,2,39,206564943,5296537
sql-explain,0,39,164331726,4213634
sql-explain,1,39,164993283,4230597
sql-explain,2,39,174017649,4461991
mixed,0,39,198865719,5099121
mixed,1,39,200557929,5142511
mixed,2,39,207532806,5321354
