kind,fields,depth,width,repeat,cold_selection,warm_selection,four_warm_selections,total_fields,bundle_bytes
0,1,0,8,0,149403,50472,202871,2,429
0,1,0,8,1,149403,50472,202871,2,429
0,1,0,8,2,149403,50472,202871,2,429
0,16,0,8,0,615583,50682,203711,17,1622
0,16,0,8,1,615583,50682,203711,17,1622
0,16,0,8,2,615583,50682,203711,17,1622
0,64,0,8,0,4294063,51354,206399,65,5462
0,64,0,8,1,4294063,51354,206399,65,5462
0,64,0,8,2,4294063,51354,206399,65,5462
0,254,0,8,0,40136601,54014,217039,255,20818
0,254,0,8,1,40136601,54014,217039,255,20818
0,254,0,8,2,40136601,54014,217039,255,20818
0,64,0,120,0,5147278,51354,206399,65,12630
0,64,0,120,1,5147278,51354,206399,65,12630
0,64,0,120,2,5147278,51354,206399,65,12630
0,254,0,120,0,43532026,54014,217039,255,49266
0,254,0,120,1,43532026,54014,217039,255,49266
0,254,0,120,2,43532026,54014,217039,255,49266
1,1,8,0,0,149395,50472,202871,2,693
1,1,8,0,1,149395,50472,202871,2,693
1,1,8,0,2,149395,50472,202871,2,693
1,1,10,0,0,149333,50472,202871,2,757
1,1,10,0,1,149333,50472,202871,2,757
1,1,10,0,2,149333,50472,202871,2,757
2,1,8,1,0,161290,50487,202927,2,758
2,1,8,1,1,161290,50487,202927,2,758
2,1,8,1,2,161290,50487,202927,2,758
