 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         601958 ┊     30.71% ┊ export "canister_query query_ten_entity_fluent_rows"
           1617 ┊      0.08% ┊                       ⤷ code[213]
           1024 ┊      0.05% ┊                       ⤷ code[421]
            250 ┊      0.01% ┊                           ⤷ code[1211]
            408 ┊      0.02% ┊                       ⤷ code[2615]
            336 ┊      0.02% ┊                           ⤷ code[889]
            321 ┊      0.02% ┊                       ⤷ code[1069]
             25 ┊      0.00% ┊                           ⤷ code[4141]
            224 ┊      0.01% ┊                       ⤷ code[1264]
            222 ┊      0.01% ┊                       ⤷ code[1445]
            127 ┊      0.01% ┊                       ⤷ code[1950]
             98 ┊      0.00% ┊                       ⤷ code[2299]
             85 ┊      0.00% ┊                       ⤷ code[2526]
             83 ┊      0.00% ┊                       ⤷ code[2527]
             72 ┊      0.00% ┊                       ⤷ code[2896]
             70 ┊      0.00% ┊                       ⤷ code[2898]
             52 ┊      0.00% ┊                       ⤷ code[3410]
             42 ┊      0.00% ┊                       ⤷ code[3777]
             37 ┊      0.00% ┊                       ⤷ code[3928]
             32 ┊      0.00% ┊                       ⤷ code[3989]
             31 ┊      0.00% ┊                       ⤷ code[3988]
             31 ┊      0.00% ┊                       ⤷ code[3990]
             27 ┊      0.00% ┊                       ⤷ code[4078]
             22 ┊      0.00% ┊                       ⤷ code[4228]
             18 ┊      0.00% ┊                       ⤷ code[4563]
           1404 ┊      0.07% ┊                   ⤷ code[265]
            113 ┊      0.01% ┊                       ⤷ code[2284]
             26 ┊      0.00% ┊                       ⤷ code[4402]
             13 ┊      0.00% ┊                       ⤷ type[65]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
            325 ┊      0.02% ┊                   ⤷ code[920]
             13 ┊      0.00% ┊                   ⤷ type[23]: (i32, i32, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
          16046 ┊      0.82% ┊               ⤷ code[105]
           6025 ┊      0.31% ┊                   ⤷ code[196]
           3683 ┊      0.19% ┊                       ⤷ code[327]
           2019 ┊      0.10% ┊                           ⤷ code[218]
            186 ┊      0.01% ┊                               ⤷ code[1634]
            134 ┊      0.01% ┊                               ⤷ code[1986]
             87 ┊      0.00% ┊                               ⤷ code[2503]
             11 ┊      0.00% ┊                               ⤷ type[64]: (i32, i64, i32, i32, i32, i32, i32, i32) -> nil
            548 ┊      0.03% ┊                           ⤷ code[847]
            160 ┊      0.01% ┊                               ⤷ code[1836]
             79 ┊      0.00% ┊                           ⤷ code[2599]
             15 ┊      0.00% ┊                           ⤷ code[4847]
            362 ┊      0.02% ┊                       ⤷ code[903]
             90 ┊      0.00% ┊                       ⤷ code[2502]
         120472 ┊      6.15% ┊ [2 Unreachable Items]
