 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         601958 ┊     30.97% ┊ export "canister_query query_one_entity_fluent_rows"
           1617 ┊      0.08% ┊                       ⤷ code[213]
           1024 ┊      0.05% ┊                       ⤷ code[411]
            250 ┊      0.01% ┊                           ⤷ code[1192]
            408 ┊      0.02% ┊                       ⤷ code[2596]
            336 ┊      0.02% ┊                           ⤷ code[870]
            321 ┊      0.02% ┊                       ⤷ code[1050]
             25 ┊      0.00% ┊                           ⤷ code[4122]
            224 ┊      0.01% ┊                       ⤷ code[1245]
            222 ┊      0.01% ┊                       ⤷ code[1426]
            127 ┊      0.01% ┊                       ⤷ code[1931]
             98 ┊      0.01% ┊                       ⤷ code[2281]
             85 ┊      0.00% ┊                       ⤷ code[2508]
             83 ┊      0.00% ┊                       ⤷ code[2509]
             72 ┊      0.00% ┊                       ⤷ code[2877]
             70 ┊      0.00% ┊                       ⤷ code[2879]
             52 ┊      0.00% ┊                       ⤷ code[3391]
             42 ┊      0.00% ┊                       ⤷ code[3757]
             37 ┊      0.00% ┊                       ⤷ code[3908]
             32 ┊      0.00% ┊                       ⤷ code[3969]
             31 ┊      0.00% ┊                       ⤷ code[3968]
             31 ┊      0.00% ┊                       ⤷ code[3970]
             27 ┊      0.00% ┊                       ⤷ code[4058]
             22 ┊      0.00% ┊                       ⤷ code[4208]
             18 ┊      0.00% ┊                       ⤷ code[4543]
           1404 ┊      0.07% ┊                   ⤷ code[265]
            113 ┊      0.01% ┊                       ⤷ code[2266]
             26 ┊      0.00% ┊                       ⤷ code[4382]
             13 ┊      0.00% ┊                       ⤷ type[65]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
            325 ┊      0.02% ┊                   ⤷ code[901]
             13 ┊      0.00% ┊                   ⤷ type[23]: (i32, i32, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
          16046 ┊      0.83% ┊               ⤷ code[105]
           6025 ┊      0.31% ┊                   ⤷ code[196]
           3683 ┊      0.19% ┊                       ⤷ code[327]
           2019 ┊      0.10% ┊                           ⤷ code[218]
            186 ┊      0.01% ┊                               ⤷ code[1615]
            134 ┊      0.01% ┊                               ⤷ code[1967]
             87 ┊      0.00% ┊                               ⤷ code[2485]
             11 ┊      0.00% ┊                               ⤷ type[64]: (i32, i64, i32, i32, i32, i32, i32, i32) -> nil
            548 ┊      0.03% ┊                           ⤷ code[828]
            160 ┊      0.01% ┊                               ⤷ code[1817]
             79 ┊      0.00% ┊                           ⤷ code[2580]
             15 ┊      0.00% ┊                           ⤷ code[4827]
            362 ┊      0.02% ┊                       ⤷ code[884]
             90 ┊      0.00% ┊                       ⤷ code[2484]
         118680 ┊      6.11% ┊ [2 Unreachable Items]
