 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        2519015 ┊     74.51% ┊ table[0]
            663 ┊      0.02% ┊                           ⤷ code[712]
            407 ┊      0.01% ┊                           ⤷ code[970]
            260 ┊      0.01% ┊                           ⤷ code[1551]
             81 ┊      0.00% ┊                           ⤷ code[3047]
             63 ┊      0.00% ┊                           ⤷ code[3535]
             55 ┊      0.00% ┊                           ⤷ code[3536]
          11423 ┊      0.34% ┊                   ⤷ code[1084]
          11024 ┊      0.33% ┊                       ⤷ code[149]
           2089 ┊      0.06% ┊                           ⤷ code[384]
            172 ┊      0.01% ┊                               ⤷ code[2068]
            140 ┊      0.00% ┊                               ⤷ code[2814]
             37 ┊      0.00% ┊                                   ⤷ code[4418]
            114 ┊      0.00% ┊                               ⤷ code[2650]
             62 ┊      0.00% ┊                               ⤷ code[3992]
            466 ┊      0.01% ┊                           ⤷ code[973]
            382 ┊      0.01% ┊                           ⤷ code[1242]
            208 ┊      0.01% ┊                           ⤷ code[1977]
            208 ┊      0.01% ┊                           ⤷ code[1978]
            129 ┊      0.00% ┊                           ⤷ code[2371]
            127 ┊      0.00% ┊                           ⤷ code[2626]
             81 ┊      0.00% ┊                           ⤷ code[3236]
             66 ┊      0.00% ┊                           ⤷ code[3524]
             66 ┊      0.00% ┊                           ⤷ code[3525]
             66 ┊      0.00% ┊                           ⤷ code[3526]
             66 ┊      0.00% ┊                           ⤷ code[3527]
             59 ┊      0.00% ┊                           ⤷ code[3799]
             44 ┊      0.00% ┊                           ⤷ code[4315]
             16 ┊      0.00% ┊                           ⤷ code[5227]
             12 ┊      0.00% ┊                           ⤷ code[5501]
          10571 ┊      0.31% ┊                   ⤷ code[81]
            693 ┊      0.02% ┊                       ⤷ code[737]
            564 ┊      0.02% ┊                       ⤷ code[837]
            405 ┊      0.01% ┊                       ⤷ code[1149]
            184 ┊      0.01% ┊                       ⤷ code[2150]
            108 ┊      0.00% ┊                       ⤷ code[2715]
             80 ┊      0.00% ┊                       ⤷ code[3239]
             76 ┊      0.00% ┊                       ⤷ code[3180]
             59 ┊      0.00% ┊                       ⤷ code[3874]
             59 ┊      0.00% ┊                       ⤷ code[3875]
             34 ┊      0.00% ┊                       ⤷ code[4702]
             34 ┊      0.00% ┊                       ⤷ code[4703]
           9479 ┊      0.28% ┊                   ⤷ code[146]
           1204 ┊      0.04% ┊                       ⤷ code[630]
         192122 ┊      5.68% ┊ [3 Unreachable Items]
