scenario_key	head_avg_local_instructions	current_avg_local_instructions	delta_local_instructions	delta_pct	sql
typed.insert_many_non_atomic.user_1000	1085258032	1088089046	2831014	0.26	INSERT MANY Customer NON_ATOMIC x1000
typed.insert_many_atomic.user_1000	868988660	871310625	2321965	0.27	INSERT MANY Customer ATOMIC x1000
typed.insert_many_non_atomic.user_100	87559756	87769797	210041	0.24	INSERT MANY Customer NON_ATOMIC x100
typed.insert_many_atomic.user_100	78375227	78582213	206986	0.26	INSERT MANY Customer ATOMIC x100
typed.insert_many_atomic.user_10	7535849	7558649	22800	0.3	INSERT MANY Customer ATOMIC x10
typed.insert_many_non_atomic.user_10	7670709	7693368	22659	0.3	INSERT MANY Customer NON_ATOMIC x10
typed.update.user_single	1172550	1177215	4665	0.4	UPDATE Customer
typed.insert.user_single	664437	666607	2170	0.33	INSERT Customer
fluent.delete.user_order_id_limit1.count	1185275	1186885	1610	0.14	DELETE FROM Customer ORDER BY id LIMIT 1
typed.dispatch.delete	1235585	1237144	1559	0.13	DELETE FROM Customer ORDER BY id LIMIT 1
generated.dispatch.delete	1213597	1215102	1505	0.12	DELETE FROM Customer ORDER BY id LIMIT 1
typed.dispatch.computed_projection.lower_name_limit2	473589	472289	-1300	-0.27	SELECT LOWER(name) FROM Customer ORDER BY id LIMIT 2
generated.dispatch.computed_projection.lower_name_limit2	473957	472657	-1300	-0.27	SELECT LOWER(name) FROM Customer ORDER BY id LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.desc	1540611	1539478	-1133	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.desc	1518180	1517063	-1117	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.execute_sql_grouped.user_age_count.having_empty	652040	653096	1056	0.16	SELECT age, COUNT(*) FROM Customer GROUP BY age HAVING COUNT(*) > 1000 ORDER BY age ASC LIMIT 10
typed.execute_sql_grouped.user_age_count.limit2.second_page	654284	655321	1037	0.16	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 2
typed.execute_sql_grouped.user_age_count.limit2.first_page	645167	646204	1037	0.16	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 2
typed.execute_sql_grouped.user_age_count	615505	616542	1037	0.17	SELECT age, COUNT(*) FROM Customer GROUP BY age ORDER BY age ASC LIMIT 10
fluent.paged.user_order_id_limit2.second_page	691177	690160	-1017	-0.15	SELECT * FROM Customer ORDER BY id LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.asc	1540216	1539246	-970	-0.06	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_strict_range_handle_limit2.asc	1519486	1518532	-954	-0.06	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_key_only_strict_range_tier_limit2.asc	1560781	1559847	-934	-0.06	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.primary_key_covering.user_id_limit1	336364	335445	-919	-0.27	SELECT id FROM Customer ORDER BY id ASC LIMIT 1
generated.dispatch.customer_account_filtered_composite_expression_strict_like_handle_limit2.desc	1386404	1385486	-918	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) LIKE 'br%' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.desc	1388064	1387146	-918	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_key_only_strict_range_tier_limit2.asc	1519296	1518386	-910	-0.06	SELECT id, tier FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) >= 'br' AND LOWER(handle) < 'bs' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.primary_key_covering.user_id_limit1	328853	327950	-903	-0.27	SELECT id FROM Customer ORDER BY id ASC LIMIT 1
typed.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.desc	1369242	1368340	-902	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_order_strict_range_name_limit2.desc	767161	767997	836	0.11	SELECT id, name FROM CustomerOrder WHERE name >= 'A' AND name < 'B' ORDER BY name DESC, id DESC LIMIT 2
typed.dispatch.secondary_covering.user_name_strict_range_limit2.desc	712172	712977	805	0.11	SELECT id, name FROM Customer WHERE name >= 'a' AND name < 'c' ORDER BY name DESC, id DESC LIMIT 2
typed.dispatch.secondary_covering.user_name_strict_range_limit2.asc	706505	707308	803	0.11	SELECT id, name FROM Customer WHERE name >= 'a' AND name < 'c' ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.customer_order_strict_range_name_limit2.asc	756601	757402	801	0.11	SELECT id, name FROM CustomerOrder WHERE name >= 'A' AND name < 'B' ORDER BY name ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.desc	1191042	1190245	-797	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.desc	1178624	1177843	-781	-0.07	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) DESC, id DESC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_strict_like_handle_limit2.asc	1383595	1382840	-755	-0.05	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND LOWER(handle) LIKE 'br%' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.asc	1385688	1384933	-755	-0.05	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_strict_range_name_limit1.asc	942046	942799	753	0.08	SELECT id, name FROM CustomerAccount WHERE active = true AND name >= 'br' AND name < 'bs' ORDER BY name ASC, id ASC LIMIT 1
generated.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.asc	1193187	1192437	-750	-0.06	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.secondary_covering.user_name_order_only_limit2.desc	493338	494080	742	0.15	SELECT id, name FROM Customer ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.customer_order_strict_like_name_limit2.desc	640518	641259	741	0.12	SELECT id, name FROM CustomerOrder WHERE name LIKE 'A%' ORDER BY name DESC, id DESC LIMIT 2
generated.dispatch.customer_order_direct_starts_with_name_limit2.desc	642388	643129	741	0.12	SELECT id, name FROM CustomerOrder WHERE STARTS_WITH(name, 'A') ORDER BY name DESC, id DESC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_direct_starts_with_handle_limit2.asc	1366124	1365385	-739	-0.05	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(LOWER(handle), 'br') ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_order_only_name_limit2.asc	653980	654715	735	0.11	SELECT id, name FROM CustomerAccount WHERE active = true ORDER BY name ASC, id ASC LIMIT 2
typed.dispatch.customer_account_filtered_composite_expression_order_only_handle_limit2.asc	1176347	1175613	-734	-0.06	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' ORDER BY LOWER(handle) ASC, id ASC LIMIT 2
typed.execute_sql_aggregate.user_min_age	704772	704043	-729	-0.1	SELECT MIN(age) FROM Customer
