scenario_key	surface	head_avg_local_instructions	current_avg_local_instructions	delta_local_instructions	delta_pct	sql
fluent.aggregate.explain.customer.avg_distinct_by_age	FluentExplainCustomerAvgDistinctByAge	121833	123574	1741	1.429005277716218	FLUENT EXPLAIN Customer AVG DISTINCT BY age
fluent.aggregate.explain.customer.count_distinct_by_age	FluentExplainCustomerCountDistinctByAge	297635	299360	1725	0.5795689351050783	FLUENT EXPLAIN Customer COUNT DISTINCT BY age
fluent.aggregate.explain.customer.exists	FluentExplainCustomerExists	120823	122564	1741	1.4409508123453316	FLUENT EXPLAIN Customer EXISTS
fluent.aggregate.explain.customer.last	FluentExplainCustomerLast	120782	122523	1741	1.4414399496613735	FLUENT EXPLAIN Customer LAST
fluent.aggregate.explain.customer.last_value_by_age	FluentExplainCustomerLastValueByAge	297871	299596	1725	0.5791097488510126	FLUENT EXPLAIN Customer LAST VALUE BY age
fluent.aggregate.explain.customer.min	FluentExplainCustomerMin	124185	125926	1741	1.4019406530579377	FLUENT EXPLAIN Customer MIN
fluent.aggregate.explain.customer.sum_by_age	FluentExplainCustomerSumByAge	121740	123481	1741	1.4300969278790865	FLUENT EXPLAIN Customer SUM BY age
fluent.delete.user_order_id_limit1.count	FluentDeleteCustomerByIdLimit1Count	6748613	6742145	-6468	-0.09584191596110193	DELETE FROM Customer ORDER BY id LIMIT 1
fluent.load.user_name_eq_limit1	FluentLoadCustomerNameEqLimit1	604340	606979	2639	0.43667471952874204	SELECT * FROM Customer WHERE name = 'alice' ORDER BY id LIMIT 1
fluent.load.user_order_id_limit2	FluentLoadCustomerByIdLimit2	544590	545992	1402	0.2574413779173323	SELECT * FROM Customer ORDER BY id LIMIT 2
fluent.paged.user_order_id_limit2.first_page	FluentPagedCustomerByIdLimit2FirstPage	1191400	1192739	1339	0.11238878630182977	SELECT * FROM Customer ORDER BY id LIMIT 2
fluent.paged.user_order_id_limit2.invalid_cursor	FluentPagedCustomerByIdLimit2InvalidCursor	118290	120052	1762	1.4895595570208808	SELECT * FROM Customer ORDER BY id LIMIT 2
fluent.paged.user_order_id_limit2.second_page	FluentPagedCustomerByIdLimit2SecondPage	6217889	6215340	-2549	-0.0409946205215307	SELECT * FROM Customer ORDER BY id LIMIT 2
generated.dispatch.computed_projection.lower_name_limit2	GeneratedDispatch	547840	547557	-283	-0.05165741822429907	SELECT LOWER(name) FROM Customer ORDER BY id LIMIT 2
generated.dispatch.customer_account_filtered_composite_direct_starts_with_handle_limit2.asc	GeneratedDispatch	1061519	1066480	4961	0.4673491477778542	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(handle, 'br') ORDER BY handle ASC, id ASC LIMIT 2
generated.dispatch.customer_account_filtered_composite_direct_starts_with_handle_limit2.desc	GeneratedDispatch	1060353	1065384	5031	0.4744646358335385	SELECT id, tier, handle FROM CustomerAccount WHERE active = true AND tier = 'gold' AND STARTS_WITH(handle, 'br') ORDER BY handle DESC, id DESC LIMIT 2
