 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────
         303154 ┊     23.84% ┊ table[0]
             86 ┊      0.01% ┊           ⤷ code[1712]
             82 ┊      0.01% ┊           ⤷ code[1838]
             80 ┊      0.01% ┊           ⤷ code[1725]
             78 ┊      0.01% ┊           ⤷ code[1691]
             77 ┊      0.01% ┊           ⤷ code[1782]
             73 ┊      0.01% ┊           ⤷ code[1839]
             64 ┊      0.01% ┊           ⤷ code[2184]
             61 ┊      0.00% ┊           ⤷ code[2033]
             57 ┊      0.00% ┊           ⤷ code[2172]
             51 ┊      0.00% ┊           ⤷ code[2231]
             48 ┊      0.00% ┊           ⤷ code[2233]
             40 ┊      0.00% ┊           ⤷ code[2440]
             38 ┊      0.00% ┊           ⤷ code[2648]
             34 ┊      0.00% ┊           ⤷ code[2663]
             26 ┊      0.00% ┊           ⤷ code[2820]
             26 ┊      0.00% ┊           ⤷ code[2822]
             23 ┊      0.00% ┊           ⤷ code[2723]
             22 ┊      0.00% ┊           ⤷ code[2931]
             16 ┊      0.00% ┊           ⤷ code[2977]
             16 ┊      0.00% ┊           ⤷ code[3118]
             16 ┊      0.00% ┊           ⤷ code[3123]
             15 ┊      0.00% ┊           ⤷ code[2997]
             15 ┊      0.00% ┊           ⤷ code[2998]
             13 ┊      0.00% ┊           ⤷ code[3120]
             13 ┊      0.00% ┊           ⤷ code[3121]
             13 ┊      0.00% ┊           ⤷ code[3122]
             11 ┊      0.00% ┊           ⤷ code[3209]
          17722 ┊      1.39% ┊       ⤷ code[367]
          17138 ┊      1.35% ┊           ⤷ code[74]
          13817 ┊      1.09% ┊               ⤷ code[52]
           6480 ┊      0.51% ┊                   ⤷ code[37]
           1916 ┊      0.15% ┊                       ⤷ code[96]
            382 ┊      0.03% ┊                       ⤷ code[629]
            323 ┊      0.03% ┊                       ⤷ code[649]
            153 ┊      0.01% ┊                       ⤷ code[1183]
           3106 ┊      0.24% ┊                   ⤷ code[1748]
           2848 ┊      0.22% ┊                       ⤷ code[1044]
           2682 ┊      0.21% ┊                           ⤷ code[199]
            900 ┊      0.07% ┊                               ⤷ code[298]
            239 ┊      0.02% ┊                                   ⤷ code[817]
            262 ┊      0.02% ┊                               ⤷ code[743]
            132 ┊      0.01% ┊                               ⤷ code[1207]
         174698 ┊     13.74% ┊ [3 Unreachable Items]
