 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────
         129942 ┊     45.22% ┊ export "canister_query __icydb_metrics"
             97 ┊      0.03% ┊               ⤷ code[385]
             83 ┊      0.03% ┊               ⤷ code[473]
             58 ┊      0.02% ┊               ⤷ code[576]
             58 ┊      0.02% ┊               ⤷ code[577]
             54 ┊      0.02% ┊               ⤷ code[618]
           3085 ┊      1.07% ┊           ⤷ code[46]
           1587 ┊      0.55% ┊               ⤷ code[23]
             85 ┊      0.03% ┊                   ⤷ code[460]
             38 ┊      0.01% ┊                   ⤷ code[692]
            359 ┊      0.12% ┊               ⤷ code[147]
            161 ┊      0.06% ┊               ⤷ code[285]
            112 ┊      0.04% ┊               ⤷ code[365]
           2731 ┊      0.95% ┊           ⤷ code[22]
            414 ┊      0.14% ┊               ⤷ code[112]
            265 ┊      0.09% ┊               ⤷ code[185]
            212 ┊      0.07% ┊               ⤷ code[212]
            172 ┊      0.06% ┊               ⤷ code[261]
             85 ┊      0.03% ┊               ⤷ code[457]
           2226 ┊      0.77% ┊           ⤷ code[20]
            416 ┊      0.14% ┊               ⤷ code[113]
            267 ┊      0.09% ┊               ⤷ code[186]
           1773 ┊      0.62% ┊           ⤷ code[15]
           1248 ┊      0.43% ┊           ⤷ code[49]
            266 ┊      0.09% ┊               ⤷ code[521]
            194 ┊      0.07% ┊                   ⤷ code[232]
            228 ┊      0.08% ┊               ⤷ code[206]
           1090 ┊      0.38% ┊           ⤷ code[35]
            923 ┊      0.32% ┊           ⤷ code[58]
            189 ┊      0.07% ┊               ⤷ code[256]
            876 ┊      0.30% ┊           ⤷ code[63]
            175 ┊      0.06% ┊               ⤷ code[264]
            849 ┊      0.30% ┊           ⤷ code[66]
            166 ┊      0.06% ┊               ⤷ code[254]
            105 ┊      0.04% ┊               ⤷ code[350]
            833 ┊      0.29% ┊           ⤷ code[54]
             47 ┊      0.02% ┊               ⤷ code[684]
            803 ┊      0.28% ┊           ⤷ code[47]
            792 ┊      0.28% ┊           ⤷ code[731]
            767 ┊      0.27% ┊               ⤷ code[55]
          35538 ┊     12.37% ┊ [1 Unreachable Items]
