 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         637715 ┊     27.60% ┊ export "canister_query query_one_fluent"
             31 ┊      0.00% ┊                       ⤷ code[4545]
             31 ┊      0.00% ┊                       ⤷ code[4546]
             27 ┊      0.00% ┊                       ⤷ code[4648]
             22 ┊      0.00% ┊                       ⤷ code[4822]
             18 ┊      0.00% ┊                       ⤷ code[5186]
           1396 ┊      0.06% ┊                   ⤷ code[307]
            113 ┊      0.00% ┊                       ⤷ code[2595]
             13 ┊      0.00% ┊                       ⤷ type[68]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
            325 ┊      0.01% ┊                   ⤷ code[1043]
          16061 ┊      0.70% ┊               ⤷ code[114]
           6134 ┊      0.27% ┊                   ⤷ code[251]
           3819 ┊      0.17% ┊                       ⤷ code[381]
           2072 ┊      0.09% ┊                           ⤷ code[250]
            188 ┊      0.01% ┊                               ⤷ code[1799]
            134 ┊      0.01% ┊                               ⤷ code[2265]
             87 ┊      0.00% ┊                               ⤷ code[2849]
             11 ┊      0.00% ┊                               ⤷ type[67]: (i32, i64, i32, i32, i32, i32, i32, i32) -> nil
            587 ┊      0.03% ┊                           ⤷ code[913]
            180 ┊      0.01% ┊                               ⤷ code[1948]
             79 ┊      0.00% ┊                           ⤷ code[2965]
             15 ┊      0.00% ┊                           ⤷ code[5527]
            475 ┊      0.02% ┊                       ⤷ code[846]
             90 ┊      0.00% ┊                       ⤷ code[2848]
             74 ┊      0.00% ┊                       ⤷ code[3216]
             59 ┊      0.00% ┊                       ⤷ code[3652]
           3429 ┊      0.15% ┊                   ⤷ code[497]
           1383 ┊      0.06% ┊                       ⤷ code[1146]
           1035 ┊      0.04% ┊                           ⤷ code[378]
           1109 ┊      0.05% ┊                       ⤷ code[1147]
            761 ┊      0.03% ┊                           ⤷ code[508]
            120 ┊      0.01% ┊                       ⤷ code[2205]
           1140 ┊      0.05% ┊                   ⤷ code[494]
            126 ┊      0.01% ┊                       ⤷ code[2201]
             76 ┊      0.00% ┊                       ⤷ code[2958]
             67 ┊      0.00% ┊                       ⤷ code[3458]
             53 ┊      0.00% ┊                       ⤷ code[3793]
             15 ┊      0.00% ┊                       ⤷ code[5340]
            777 ┊      0.03% ┊                   ⤷ code[495]
            735 ┊      0.03% ┊                   ⤷ code[520]
            244 ┊      0.01% ┊                   ⤷ code[2102]
             98 ┊      0.00% ┊                       ⤷ code[2594]
            154 ┊      0.01% ┊                   ⤷ code[2092]
            139 ┊      0.01% ┊                   ⤷ code[2160]
             30 ┊      0.00% ┊                   ⤷ code[4733]
         166400 ┊      7.20% ┊ [2 Unreachable Items]
