 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         635843 ┊     27.71% ┊ export "canister_query query_one_simple_fluent"
             31 ┊      0.00% ┊                       ⤷ code[4526]
             31 ┊      0.00% ┊                       ⤷ code[4527]
             27 ┊      0.00% ┊                       ⤷ code[4629]
             22 ┊      0.00% ┊                       ⤷ code[4805]
             18 ┊      0.00% ┊                       ⤷ code[5178]
           1396 ┊      0.06% ┊                   ⤷ code[307]
            113 ┊      0.00% ┊                       ⤷ code[2586]
             13 ┊      0.00% ┊                       ⤷ type[68]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
            325 ┊      0.01% ┊                   ⤷ code[1039]
          15878 ┊      0.69% ┊               ⤷ code[114]
           5968 ┊      0.26% ┊                   ⤷ code[253]
           3683 ┊      0.16% ┊                       ⤷ code[393]
           2019 ┊      0.09% ┊                           ⤷ code[257]
            186 ┊      0.01% ┊                               ⤷ code[1840]
            134 ┊      0.01% ┊                               ⤷ code[2257]
             87 ┊      0.00% ┊                               ⤷ code[2840]
             11 ┊      0.00% ┊                               ⤷ type[67]: (i32, i64, i32, i32, i32, i32, i32, i32) -> nil
            548 ┊      0.02% ┊                           ⤷ code[964]
            160 ┊      0.01% ┊                               ⤷ code[2072]
             79 ┊      0.00% ┊                           ⤷ code[2954]
             15 ┊      0.00% ┊                           ⤷ code[5511]
            468 ┊      0.02% ┊                       ⤷ code[852]
             90 ┊      0.00% ┊                       ⤷ code[2839]
             74 ┊      0.00% ┊                       ⤷ code[3203]
             59 ┊      0.00% ┊                       ⤷ code[3639]
           3427 ┊      0.15% ┊                   ⤷ code[495]
           1381 ┊      0.06% ┊                       ⤷ code[1142]
           1033 ┊      0.05% ┊                           ⤷ code[378]
           1109 ┊      0.05% ┊                       ⤷ code[1143]
            761 ┊      0.03% ┊                           ⤷ code[506]
            120 ┊      0.01% ┊                       ⤷ code[2197]
           1140 ┊      0.05% ┊                   ⤷ code[492]
            126 ┊      0.01% ┊                       ⤷ code[2193]
             76 ┊      0.00% ┊                       ⤷ code[2946]
             67 ┊      0.00% ┊                       ⤷ code[3445]
             53 ┊      0.00% ┊                       ⤷ code[3783]
             15 ┊      0.00% ┊                       ⤷ code[5335]
            776 ┊      0.03% ┊                   ⤷ code[493]
            735 ┊      0.03% ┊                   ⤷ code[518]
            244 ┊      0.01% ┊                   ⤷ code[2094]
             98 ┊      0.00% ┊                       ⤷ code[2585]
            154 ┊      0.01% ┊                   ⤷ code[2085]
            139 ┊      0.01% ┊                   ⤷ code[2152]
             30 ┊      0.00% ┊                   ⤷ code[4713]
         156216 ┊      6.81% ┊ [2 Unreachable Items]
