 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────
        1114405 ┊     39.20% ┊ export "canister_query query_one_sql"
             69 ┊      0.00% ┊                   ⤷ code[3940]
           6084 ┊      0.21% ┊               ⤷ code[103]
           1831 ┊      0.06% ┊                   ⤷ code[251]
             79 ┊      0.00% ┊                   ⤷ code[3597]
             74 ┊      0.00% ┊                   ⤷ code[3770]
           4335 ┊      0.15% ┊               ⤷ code[266]
            985 ┊      0.03% ┊                   ⤷ code[484]
            455 ┊      0.02% ┊                   ⤷ code[1000]
            349 ┊      0.01% ┊                   ⤷ code[1290]
            180 ┊      0.01% ┊                   ⤷ code[2244]
            152 ┊      0.01% ┊                   ⤷ code[2681]
            135 ┊      0.00% ┊                   ⤷ code[2558]
             60 ┊      0.00% ┊                   ⤷ code[4409]
             59 ┊      0.00% ┊                   ⤷ code[4618]
           4219 ┊      0.15% ┊               ⤷ code[104]
           4080 ┊      0.14% ┊               ⤷ code[107]
           3988 ┊      0.14% ┊               ⤷ code[2334]
           3824 ┊      0.13% ┊                   ⤷ code[301]
           2400 ┊      0.08% ┊                       ⤷ code[225]
            405 ┊      0.01% ┊                           ⤷ code[1052]
            192 ┊      0.01% ┊                           ⤷ code[1989]
             29 ┊      0.00% ┊                       ⤷ code[5383]
           3927 ┊      0.14% ┊               ⤷ code[326]
           1019 ┊      0.04% ┊                   ⤷ code[522]
           1001 ┊      0.04% ┊                   ⤷ code[534]
             87 ┊      0.00% ┊                   ⤷ code[3359]
             48 ┊      0.00% ┊                   ⤷ code[4805]
             40 ┊      0.00% ┊                   ⤷ code[5452]
             37 ┊      0.00% ┊                   ⤷ code[5357]
             31 ┊      0.00% ┊                   ⤷ code[5671]
           3730 ┊      0.13% ┊               ⤷ code[2335]
           3566 ┊      0.13% ┊                   ⤷ code[338]
           2179 ┊      0.08% ┊                       ⤷ code[239]
            313 ┊      0.01% ┊                           ⤷ code[1391]
            132 ┊      0.00% ┊                           ⤷ code[2565]
             64 ┊      0.00% ┊                       ⤷ code[4055]
             29 ┊      0.00% ┊                       ⤷ code[5379]
           3591 ┊      0.13% ┊               ⤷ code[1267]
           3073 ┊      0.11% ┊                   ⤷ code[1085]
           2627 ┊      0.09% ┊                       ⤷ code[200]
            212 ┊      0.01% ┊                           ⤷ code[1788]
            133 ┊      0.00% ┊                           ⤷ code[2499]
             86 ┊      0.00% ┊                           ⤷ code[3320]
             84 ┊      0.00% ┊                           ⤷ code[3540]
             84 ┊      0.00% ┊                           ⤷ code[3541]
             64 ┊      0.00% ┊                       ⤷ code[4102]
         206560 ┊      7.27% ┊ [2 Unreachable Items]
