 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────────────────────────────────────
         957843 ┊     33.44% ┊ table[0]
             14 ┊      0.00% ┊                       ⤷ code[6693]
           3311 ┊      0.12% ┊                   ⤷ code[684]
           1946 ┊      0.07% ┊                       ⤷ code[1000]
             18 ┊      0.00% ┊                       ⤷ code[453]
           1602 ┊      0.06% ┊                   ⤷ code[688]
           1137 ┊      0.04% ┊                   ⤷ code[686]
            974 ┊      0.03% ┊                   ⤷ code[687]
            539 ┊      0.02% ┊                   ⤷ code[1004]
            318 ┊      0.01% ┊                   ⤷ code[820]
            178 ┊      0.01% ┊                   ⤷ code[689]
             90 ┊      0.00% ┊                   ⤷ code[1019]
             49 ┊      0.00% ┊                   ⤷ code[230]
             36 ┊      0.00% ┊                   ⤷ code[675]
             14 ┊      0.00% ┊                   ⤷ code[690]
          35725 ┊      1.25% ┊               ⤷ code[1804]
           3558 ┊      0.12% ┊                   ⤷ code[7071]
           3205 ┊      0.11% ┊                       ⤷ code[7073]
           1056 ┊      0.04% ┊                           ⤷ code[7076]
            311 ┊      0.01% ┊                               ⤷ code[7079]
            297 ┊      0.01% ┊                           ⤷ code[7074]
            166 ┊      0.01% ┊                           ⤷ code[7078]
            163 ┊      0.01% ┊                           ⤷ code[7077]
            126 ┊      0.00% ┊                           ⤷ code[7075]
           2534 ┊      0.09% ┊                   ⤷ code[7084]
           2092 ┊      0.07% ┊                       ⤷ code[7085]
            676 ┊      0.02% ┊                           ⤷ code[7088]
             35 ┊      0.00% ┊                               ⤷ code[7091]
            211 ┊      0.01% ┊                           ⤷ code[7087]
             23 ┊      0.00% ┊                           ⤷ code[7086]
             21 ┊      0.00% ┊                           ⤷ code[7089]
             21 ┊      0.00% ┊                           ⤷ code[7090]
           2534 ┊      0.09% ┊                   ⤷ code[7096]
           2092 ┊      0.07% ┊                       ⤷ code[7097]
            676 ┊      0.02% ┊                           ⤷ code[7100]
             35 ┊      0.00% ┊                               ⤷ code[7103]
            211 ┊      0.01% ┊                           ⤷ code[7099]
             23 ┊      0.00% ┊                           ⤷ code[7098]
             21 ┊      0.00% ┊                           ⤷ code[7101]
             21 ┊      0.00% ┊                           ⤷ code[7102]
           2362 ┊      0.08% ┊                   ⤷ code[7081]
             19 ┊      0.00% ┊                       ⤷ code[7083]
           1798 ┊      0.06% ┊                   ⤷ code[7105]
           1795 ┊      0.06% ┊                   ⤷ code[7093]
         147215 ┊      5.14% ┊ [147 Unreachable Items]
