scenario	before	after	delta	delta_pct	compile_before	compile_after	execute_before	execute_after	shared_hits_before	shared_hits_after
user.name.order_only.asc.limit3	508123	459615	-48508	-9.55	86025	86226	422098	373389	0	0
user.name.order_only.desc.limit3	505245	458564	-46681	-9.24	85669	86696	419576	371868	0	0
user.name.range.limit3	1916086	1632384	-283702	-14.81	324411	323272	1591675	1309112	0	0
user.pk.key_only.asc.limit1	279384	249518	-29866	-10.69	73403	73703	205981	175815	0	0
user.pk.order_only.asc.limit1	496492	378820	-117672	-23.7	78871	79394	417621	299426	0	0
user.pk.order_only.asc.limit2	541122	423424	-117698	-21.75	78871	79394	462251	344030	0	0
user.pk.order_only.desc.limit2	535674	418734	-116940	-21.83	78914	79437	456760	339297	0	0
user.pk.range.asc.limit2	711823	573190	-138633	-19.48	115274	116066	596549	457124	0	0
user.scalar_arithmetic.age_minus_one.limit3	814804	676018	-138786	-17.03	104784	104698	710020	571320	0	0
user.scalar_round.age_div3.limit3	915716	754992	-160724	-17.55	118767	119404	796949	635588	0	0
user.show_columns	34476	34467	-9	-0.03	26949	26940	7527	7527	0	0
user.show_indexes	37329	37320	-9	-0.02	26927	26918	10402	10402	0	0
user.show_tables	22612	22624	12	0.05	20728	20737	1884	1887	0	0
