db::predicate::runtime	1256	3	74	3
types::decimal	848	2	68	2
db::sql_shared::lexer	249	1	58	2
db::executor::aggregate::contracts::state	765	4	53	2
db::predicate::parser	506	2	53	3
db::session::sql::projection::runtime	1370	4	49	3
db::data::structural_field::value_storage	978	4	46	2
db::data::structural_field::storage_key	569	5	41	3
value	839	3	41	2
db::access::canonical	376	3	40	2
db::query::fingerprint::hash_parts	1154	3	40	2
db::query::plan::access_choice::evaluator::range	366	2	38	3
db::executor::aggregate::runtime::grouped_fold	1381	4	35	2
db::executor::explain::descriptor::shared	663	2	35	2
db::data::persisted_row::reader	944	4	34	2
db::query::plan::covering	544	3	33	2
db::sql::parser::statement	421	1	33	2
db::query::plan::planner::index_select	397	3	32	3
db::query::plan::planner::range::extract	339	3	31	3
db::sql::lowering::select::projection	614	3	31	2
db::schema::validate	410	2	30	2
db::sql::parser::clauses	244	2	30	3
module	loc	fanout	branch_sites_total	max_branch_depth
