 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────
        1017381 ┊     38.76% ┊ export "canister_query query_one_sql"
           3591 ┊      0.14% ┊               ⤷ code[1208]
           3073 ┊      0.12% ┊                   ⤷ code[1035]
           2627 ┊      0.10% ┊                       ⤷ code[191]
            212 ┊      0.01% ┊                           ⤷ code[1719]
            133 ┊      0.01% ┊                           ⤷ code[2424]
             86 ┊      0.00% ┊                           ⤷ code[3210]
             84 ┊      0.00% ┊                           ⤷ code[3410]
             84 ┊      0.00% ┊                           ⤷ code[3411]
             64 ┊      0.00% ┊                       ⤷ code[3960]
            187 ┊      0.01% ┊                   ⤷ code[1951]
           3502 ┊      0.13% ┊               ⤷ code[116]
           3450 ┊      0.13% ┊               ⤷ code[319]
            736 ┊      0.03% ┊                   ⤷ code[586]
            393 ┊      0.01% ┊                   ⤷ code[1072]
            345 ┊      0.01% ┊                   ⤷ code[1231]
            135 ┊      0.01% ┊                   ⤷ code[2484]
             96 ┊      0.00% ┊                   ⤷ code[3092]
             87 ┊      0.00% ┊                   ⤷ code[3329]
             60 ┊      0.00% ┊                   ⤷ code[4265]
             55 ┊      0.00% ┊                   ⤷ code[4480]
           2797 ┊      0.11% ┊               ⤷ code[149]
           2451 ┊      0.09% ┊               ⤷ code[342]
            348 ┊      0.01% ┊                   ⤷ code[1330]
            343 ┊      0.01% ┊                   ⤷ code[1349]
             87 ┊      0.00% ┊                   ⤷ code[3254]
             58 ┊      0.00% ┊                   ⤷ code[4134]
             40 ┊      0.00% ┊                   ⤷ code[5306]
             31 ┊      0.00% ┊                   ⤷ code[5528]
           2367 ┊      0.09% ┊               ⤷ code[178]
           2362 ┊      0.09% ┊               ⤷ code[240]
            343 ┊      0.01% ┊                   ⤷ code[1373]
             10 ┊      0.00% ┊                       ⤷ type[53]: (i32, i32, i64, i32, i32, i32, i32) -> nil
           2256 ┊      0.09% ┊               ⤷ code[231]
             84 ┊      0.00% ┊                   ⤷ code[3718]
             62 ┊      0.00% ┊                   ⤷ code[4166]
             55 ┊      0.00% ┊                   ⤷ code[4929]
             48 ┊      0.00% ┊                   ⤷ code[5333]
             48 ┊      0.00% ┊                   ⤷ code[5334]
           2210 ┊      0.08% ┊               ⤷ code[170]
           2034 ┊      0.08% ┊               ⤷ code[583]
           1264 ┊      0.05% ┊                   ⤷ code[397]
             31 ┊      0.00% ┊                       ⤷ code[5337]
             22 ┊      0.00% ┊                       ⤷ code[5833]
             29 ┊      0.00% ┊                   ⤷ code[5555]
           1975 ┊      0.08% ┊               ⤷ code[300]
         168696 ┊      6.43% ┊ [2 Unreachable Items]
