module	file	function	start_line	end_line	logical_lines	branch_layers	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	plan_compare	21	128	103	14	2	10	5.00	12	12	3
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	canonical_cmp	256	424	154	13	1	7	7.00	12	12	2
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	render_text_tree_verbose_into	116	206	88	12	0	0	0.00	12	12	1
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	write_execution_node_json	26	110	82	12	11	22	2.00	1	1	1
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	render_text_tree_into	38	115	74	12	0	0	0.00	12	12	1
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	assess_field_extrema_fast_path_eligibility	225	334	108	9	0	0	0.00	9	9	1
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	execute_global_distinct_field_aggregate	46	149	97	8	3	8	2.67	7	5	3
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	prepare_row_commit_for_entity_impl	50	223	163	8	1	0	0.00	7	7	2
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	plan_strict_same_field_eq_or	90	147	55	8	0	0	0.00	8	8	2
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	bounds_for_prefix_component_range_with_kind	303	415	105	8	4	8	2.00	6	4	1
metrics::sink	crates/icydb-core/src/metrics/sink.rs	record	120	360	222	7	7	31	4.43	0	0	2
metrics::sink	crates/icydb-core/src/metrics/sink.rs	record	131	359	213	7	7	31	4.43	0	0	2
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	prepare_reverse_relation_index_mutations_for_source	199	319	107	7	2	4	2.00	9	5	2
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	new	91	185	87	7	4	10	2.50	3	3	2
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	validate_entity_invariants	75	171	86	7	1	0	0.00	7	6	2
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	secondary_order_pushdown_applicability	109	199	85	7	1	2	2.00	6	6	2
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	update_with_optional_id	82	160	77	7	3	12	4.00	4	4	2
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	compile_compare_index_node	129	204	73	7	5	14	2.80	2	2	2
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	query_clause_implies_required	254	308	52	7	5	18	3.60	2	2	2
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	plan_predicate_pushdown_label	388	426	36	7	1	10	10.00	7	6	2
db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	validate_unique_constraint	34	199	149	7	0	0	0.00	7	7	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	evaluate_range_compare_candidate	682	728	45	7	0	0	0.00	8	7	1
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	project_access_choice_explain_snapshot	196	305	101	6	2	4	2.00	5	4	3
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	fold_streaming_field_extrema	246	319	68	6	2	2	1.00	4	4	3
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	classify_index_field_constraints	145	193	45	6	3	9	3.00	3	3	3
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	collect_grouped_candidate_rows	39	134	92	6	0	0	0.00	8	6	2
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	covering_index_projection_pairs_if_eligible	414	483	63	6	5	12	2.40	2	1	2
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	ensure_coercion	288	345	52	6	1	0	0.00	5	5	2
types::decimal	crates/icydb-core/src/types/decimal.rs	cmp_decimal	481	539	50	6	0	0	0.00	10	6	2
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	classify_range_index_constraints	784	832	44	6	1	3	3.00	5	5	2
types::decimal	crates/icydb-core/src/types/decimal.rs	fmt	847	884	32	6	0	0	0.00	6	6	2
db::access::validate	crates/icydb-core/src/db/access/validate.rs	validate_index_range	307	370	55	6	0	0	0.00	6	6	1
db::index::entry	crates/icydb-core/src/db/index/entry.rs	validate	246	295	39	6	0	0	0.00	6	6	1
types::duration	crates/icydb-core/src/types/duration.rs	parse_flexible	151	192	36	6	0	0	0.00	6	6	1
db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	grouped_plan_strategy_hint	25	54	29	6	0	0	0.00	6	6	1
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	decode_covering_projection_component	15	44	28	6	0	0	0.00	6	6	1
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	cross_layer_canonical_ordering_is_consistent	296	430	131	6	6	0	0.00	0	0	0
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	next_token	443	528	83	5	1	16	16.00	7	4	3
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	validate_cursor_boundary_types	163	223	56	5	1	2	2.00	4	4	3
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	summarize_executable_access_path	48	93	45	5	1	7	7.00	4	4	3
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	apply_order_phase	310	351	38	5	0	0	0.00	5	5	3
db::schema::types	crates/icydb-core/src/db/schema/types.rs	literal_matches_type	210	235	24	5	4	8	2.00	1	1	3
