module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	630	9	36	4.00	29	28	2	2	37
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	478	13	35	2.69	2	1	2	1	14
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	160	4	24	6.00	0	0	1	1	4
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	211	5	15	3.00	0	0	1	1	5
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	21	0	0	0.00	0	0	0	0	0
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	87	0	0	0.00	4	4	1	1	4
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	257	1	2	2.00	10	10	2	1	11
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	103	0	0	0.00	3	3	1	1	3
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	136	5	18	3.60	8	7	3	1	12
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	83	0	0	0.00	0	0	0	1	0
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	360	7	21	3.00	1	1	2	2	8
db::access	crates/icydb-core/src/db/access/mod.rs	39	0	0	0.00	0	0	0	0	0
db::access::path	crates/icydb-core/src/db/access/path.rs	232	4	13	3.25	0	0	1	1	4
db::access::plan	crates/icydb-core/src/db/access/plan.rs	358	5	11	2.20	9	6	1	2	11
db::access::validate	crates/icydb-core/src/db/access/validate.rs	391	5	11	2.20	18	18	2	1	23
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	133	1	4	4.00	3	3	1	1	4
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	45	0	0	0.00	0	0	0	0	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	147	2	6	3.00	3	3	1	1	5
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	42	0	0	0.00	3	3	1	1	3
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	166	0	2	0.00	6	6	1	1	6
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	121	0	0	0.00	4	4	1	1	4
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	212	0	0	0.00	7	7	1	1	7
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	131	2	4	2.00	4	3	2	2	5
db::commit	crates/icydb-core/src/db/commit/mod.rs	137	1	3	3.00	1	0	1	2	1
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	208	1	0	0.00	7	7	2	1	8
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	49	0	0	0.00	0	0	0	1	0
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	131	0	0	0.00	4	3	1	1	3
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	103	0	0	0.00	8	6	2	1	6
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	43	1	2	2.00	0	0	1	1	1
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	55	0	0	0.00	0	0	0	1	0
db::commit::store	crates/icydb-core/src/db/commit/store.rs	633	3	9	3.00	16	13	2	2	16
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	10	0	0	0.00	0	0	0	0	0
db::contracts::rules	crates/icydb-core/src/db/contracts/rules.rs	17	0	0	0.00	1	1	1	0	1
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	62	0	0	0.00	1	1	1	2	1
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	267	2	5	2.50	11	10	2	1	12
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	264	6	12	2.00	7	7	3	1	13
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	203	1	2	2.00	4	3	2	1	4
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	400	11	12	1.09	2	2	2	3	13
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	180	5	2	0.40	0	0	1	1	5
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	251	2	12	6.00	1	1	1	1	3
db::cursor::order	crates/icydb-core/src/db/cursor/order.rs	165	1	2	2.00	4	4	1	1	5
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	105	0	0	0.00	0	0	0	2	0
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	66	0	0	0.00	0	0	0	1	0
db::cursor::resume	crates/icydb-core/src/db/cursor/resume.rs	58	0	0	0.00	2	2	2	1	2
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	188	0	0	0.00	6	6	2	1	6
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	21	0	0	0.00	0	0	0	0	0
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	274	0	0	0.00	4	4	1	1	4
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	29	0	0	0.00	0	0	0	0	0
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	174	0	0	0.00	0	0	0	3	0
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	35	0	0	0.00	0	0	0	0	0
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	226	1	2	2.00	0	0	1	3	1
db::cursor::token::wire	crates/icydb-core/src/db/cursor/token/wire.rs	115	5	7	1.40	0	0	1	1	5
db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	72	1	3	3.00	1	1	2	1	2
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	149	0	0	0.00	1	1	1	2	1
db::data::key	crates/icydb-core/src/db/data/key.rs	384	0	0	0.00	3	3	1	1	3
db::data	crates/icydb-core/src/db/data/mod.rs	16	0	0	0.00	0	0	0	0	0
