enum	variants	definition_file	definition_line	switch_sites	switch_site_examples
PlanError	3	crates/icydb-core/src/db/query/plan/validate/errors.rs	19	22	db::access::validate::validate_index_range_bound_value::371;db::cursor::anchor::validate_index_range_anchor::209;db::cursor::anchor::validate_index_range_boundary_anchor_consistency::264;db::cursor::boundary::validate_cursor_direction::105;db::cursor::boundary::validate_cursor_boundary_types::163;db::cursor::boundary::decode_typed_primary_key_cursor_slot::226;db::cursor::map_pk_cursor_decode_error::163;db::cursor::validated_cursor_order_internal::257
QueryError	5	crates/icydb-core/src/db/query/intent/errors.rs	25	14	db::query::fluent::load::builder::planned::222;db::query::fluent::load::builder::plan::231;db::query::fluent::load::validation::ensure_paged_mode_ready::61;db::query::fluent::load::validation::ensure_non_paged_mode_ready::69;db::query::intent::model::sort_expr::86;db::session::map_executor_plan_error::35;db::session::query::execute_query::19;db::session::query::trace_query::53
ErrorClass	7	crates/icydb-core/src/error/mod.rs	483	10	db::commit::prepare::prepare_row_commit_for_entity_impl::50;db::diagnostics::classify_scan_error::884;db::query::intent::errors::from::94;db::query::intent::errors::assert_execute_variant_for_class::228;db::session::sql::map_sql_lowering_error::53;db::session::sql::query_from_sql::206;db::session::sql::sql_projection_columns::226;db::session::sql::execute_sql_projection::266
CursorPlanError	9	crates/icydb-core/src/db/cursor/error.rs	22	10	db::cursor::anchor::validate_index_range_anchor::209;db::cursor::anchor::validate_index_range_boundary_anchor_consistency::264;db::cursor::boundary::validate_cursor_direction::105;db::cursor::boundary::validate_cursor_boundary_types::163;db::cursor::boundary::decode_typed_primary_key_cursor_slot::226;db::cursor::map_pk_cursor_decode_error::163;db::cursor::validated_cursor_order_internal::257;db::cursor::validation::validate_cursor_compatibility::32
CursorDecodeError	4	crates/icydb-core/src/db/codec/cursor.rs	16	0	
CursorPagingPolicyError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	160	2	db::query::intent::errors::from::177;db::query::plan::validate::fluent_policy::validate_fluent_paged_mode::100
CursorOrderPlanShapeError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	331	2	db::cursor::validated_cursor_order_internal::257;db::query::plan::validate::cursor_policy::validate_cursor_order_plan_shape::24
AccessPath	7	crates/icydb-core/src/db/access/path.rs	118	15	db::access::path::map_keys::238;db::query::access::access_visitor::visit_by_key::17;db::query::access::access_visitor::visit_by_keys::18;db::query::access::access_visitor::visit_key_range::19;db::query::access::access_visitor::visit_index_prefix::20;db::query::access::access_visitor::visit_index_multi_lookup::27;db::query::access::access_visitor::visit_index_range::33;db::query::access::access_visitor::visit_full_scan::42
AccessPathKind	7	crates/icydb-core/src/db/access/dispatch.rs	50	1	db::diagnostics::execution_trace::access_path_variant::328
RouteShapeKind	5	crates/icydb-core/src/db/executor/route/contracts/shape.rs	89	2	db::executor::route::planner::execution::derive_route_execution_stage::66;db::executor::route::planner::execution::shape_aggregate_count::build_execution_stage_for_aggregate_count::34
PlanPolicyError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	81	1	db::error::planner::from_group_plan_error::33
PolicyPlanError	7	crates/icydb-core/src/db/query/plan/validate/errors.rs	121	1	db::error::planner::plan_invariant_violation::58
Predicate	13	crates/icydb-core/src/db/predicate/model.rs	18	37	db::index::predicate::compile::compile_index_program_from_resolved::51;db::index::predicate::compile::compile_index_program_and_subset::65;db::index::predicate::compile::compile_index_program_from_resolved_full::95;db::predicate::encoding::encode_predicate_sort_key_into::45;db::predicate::encoding::hash_predicate_fingerprint::267;db::predicate::normalize::normalize::35;db::predicate::normalize::normalize_enum_literals::81;db::predicate::normalize::normalize_not::308
PreparedIndexDeltaKind	5	crates/icydb-core/src/db/commit/prepared_op.rs	35	3	db::commit::prepare::prepare_row_commit_for_entity_impl::50;db::executor::mutation::commit_window::summarize_prepared_row_ops::204;db::relation::reverse_index::prepare_reverse_relation_index_mutations_for_source::199
StoreError	3	crates/icydb-core/src/error/mod.rs	453	1	error::new::130
StoreRegistryError	3	crates/icydb-core/src/db/registry.rs	19	1	db::registry::register_store::130
