module	file	domain_families	has_other_internal_prefix	domain_count	fanout	loc	branch_sites_total	super_node
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	access/index,predicate/filter,query/plan	yes	4	12	831	0	yes
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	access/index,query/plan	yes	3	2	319	11	yes
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	access/index,query/plan	yes	3	1	134	0	yes
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	access/index,query/plan	yes	3	1	65	0	yes
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	query/plan	yes	2	4	412	7	no
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	query/plan	yes	2	3	203	4	no
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	query/plan	yes	2	2	1281	38	no
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	predicate/filter	yes	2	2	562	14	no
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	access/index	yes	2	2	529	16	no
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	access/index	yes	2	2	360	8	no
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	access/index	yes	2	2	328	7	no
db::executor	crates/icydb-core/src/db/executor/mod.rs	access/index	yes	2	2	195	2	no
db::query::fingerprint::aggregate_hash	crates/icydb-core/src/db/query/fingerprint/aggregate_hash.rs	query/plan	yes	2	2	169	2	no
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	access/index	yes	2	2	163	1	no
db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	predicate/filter	yes	2	2	137	0	no
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	cursor/continuation	yes	2	2	105	0	no
db::error::planner	crates/icydb-core/src/db/error/planner.rs	query/plan	yes	2	2	64	4	no
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	access/index	yes	2	1	527	23	no
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	access/index	yes	2	1	464	17	no
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	cursor/continuation	yes	2	1	452	15	no
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	cursor/continuation	yes	2	1	369	12	no
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	cursor/continuation	yes	2	1	267	12	no
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	predicate/filter	yes	2	1	139	8	no
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	query/plan	yes	2	1	66	2	no
db::query::fingerprint	crates/icydb-core/src/db/query/fingerprint/mod.rs	query/plan	yes	2	1	29	0	no
db::query::plan::constant_predicate	crates/icydb-core/src/db/query/plan/constant_predicate.rs	predicate/filter,query/plan	no	2	1	27	1	no
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	-	yes	1	3	449	11	no
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	-	yes	1	3	400	13	no
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	-	yes	1	3	392	8	no
