module_path	file	fanout	layers_touched	layer_count	risk
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	4		0	low
db::schema::types	crates/icydb-core/src/db/schema/types.rs	4		0	low
traits	crates/icydb-core/src/traits/mod.rs	4		0	low
value::wire	crates/icydb-core/src/value/wire.rs	4		0	low
visitor	crates/icydb-core/src/visitor/mod.rs	4		0	low
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	3	query/plan,access	2	low
db::executor::continuation::capabilities	crates/icydb-core/src/db/executor/continuation/capabilities.rs	3	query/plan,executor	2	low
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	3	query/plan,executor	2	low
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	3	query/plan,executor	2	low
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	3	executor,index/storage	2	low
db::query::intent::mutation	crates/icydb-core/src/db/query/intent/mutation.rs	3	intent,query/plan	2	low
db::query::intent::planning	crates/icydb-core/src/db/query/intent/planning.rs	3	intent,query/plan	2	low
db::query::plan::validate::errors	crates/icydb-core/src/db/query/plan/validate/errors.rs	3	access,executor	2	low
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	3	access	1	low
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	3	access	1	low
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	3	index/storage	1	low
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	3	index/storage	1	low
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	3	executor	1	low
db::data::store	crates/icydb-core/src/db/data/store.rs	3	index/storage	1	low
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct.rs	3	executor	1	low
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	3	access	1	low
