module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	123	0	2	2	2	4	1	8	executor	query/plan,executor	3	3
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	126	0	4	0	1	1	0	6	executor	query/plan,executor	2	2
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	7	0	0	0	0	0	0	0	executor		0	0
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	36	0	0	0	0	0	0	0	executor		0	0
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	78	0	3	1	2	3	1	7	executor	query/plan,executor	3	3
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	227	0	7	2	2	4	1	14	executor	query/plan,executor	4	4
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	101	0	1	2	0	2	1	4	executor	executor	0	0
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	76	0	1	2	0	2	1	5	executor	executor	0	0
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	44	0	1	0	1	1	0	5	executor	executor	0	0
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	73	0	2	1	0	1	1	5	executor	executor	0	0
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	47	0	0	0	1	1	0	5	executor	executor	0	0
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	125	0	2	0	0	0	0	2	executor	executor	0	0
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	89	0	0	0	1	1	0	3	executor	query/plan,executor	2	2
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	235	0	2	2	0	2	1	8	executor	query/plan,executor	5	5
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	102	0	1	2	1	3	1	5	executor	query/plan,executor	1	1
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	103	4	1	0	1	1	0	6	executor	query/plan,access,executor	3	3
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	96	0	2	0	0	0	0	4	executor	query/plan,access	6	6
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	44	0	1	0	0	0	0	3	executor	query/plan	2	2
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	112	3	3	0	0	0	0	6	executor	access,executor	1	1
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	55	0	3	0	0	0	0	6	executor	executor	0	0
db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	422	1	12	5	10	15	1	27	executor	executor,index/storage	0	14
db::executor::scan::fast_stream	crates/icydb-core/src/db/executor/scan/fast_stream/mod.rs	55	0	1	0	0	0	0	8	executor	executor	0	0
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	141	0	3	0	1	1	0	14	executor	query/plan,executor,index/storage	1	2
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	127	2	1	1	0	1	1	11	executor	query/plan,executor,index/storage	1	2
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	46	0	1	0	0	0	0	10	executor	query/plan,executor,index/storage	1	2
db::executor::scan	crates/icydb-core/src/db/executor/scan/mod.rs	12	0	0	0	0	0	0	0	executor		0	0
db::executor::scan::pk_stream	crates/icydb-core/src/db/executor/scan/pk_stream.rs	41	0	1	0	0	0	0	8	executor	query/plan,executor	1	1
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	47	0	1	0	0	0	0	10	executor	query/plan,executor,index/storage	1	2
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	305	7	4	0	3	3	0	12	executor	access,executor,index/storage	1	2
db::executor::stream::access	crates/icydb-core/src/db/executor/stream/access/mod.rs	18	0	0	0	0	0	0	0	executor		0	0
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	336	1	1	2	8	10	1	19	executor	access,executor,index/storage	2	4
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	208	2	3	2	3	5	1	12	executor	executor,index/storage	0	2
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	369	0	5	3	8	11	1	15	executor	access,executor,index/storage	3	4
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	387	2	0	2	13	15	1	6	executor	executor,index/storage	0	2
db::executor::stream::key::contracts	crates/icydb-core/src/db/executor/stream/key/contracts.rs	143	4	2	1	1	2	1	2	executor	index/storage	0	1
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	89	1	0	0	4	4	0	3	executor	executor,index/storage	0	1
db::executor::stream::key	crates/icydb-core/src/db/executor/stream/key/mod.rs	16	0	0	0	0	0	0	0	executor		0	0
db::executor::stream::key::order	crates/icydb-core/src/db/executor/stream/key/order.rs	68	1	3	3	0	3	1	3	executor	index/storage	0	2
db::executor::stream	crates/icydb-core/src/db/executor/stream/mod.rs	7	0	0	0	0	0	0	0	executor		0	0
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	161	0	2	2	1	3	1	17	executor	query/plan,access,executor,index/storage	3	4
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	76	0	2	0	3	3	0	5	executor	query/plan,executor,codec	1	2
db::executor::terminal::page	crates/icydb-core/src/db/executor/terminal/page.rs	135	1	2	0	3	3	0	15	executor	query/plan,executor	1	1
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	148	0	6	0	0	0	0	10	executor	query/plan,executor	1	1
db::executor::terminal::ranking::materialized	crates/icydb-core/src/db/executor/terminal/ranking/materialized/mod.rs	119	0	2	1	2	3	1	8	executor	executor	0	0
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	152	0	6	0	0	0	0	8	executor	executor	0	0
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	8	0	0	0	0	0	0	0	executor		0	0
db::executor::terminal::ranking::take	crates/icydb-core/src/db/executor/terminal/ranking/take.rs	44	0	1	0	1	1	0	6	executor	executor	0	0
db::executor::traversal	crates/icydb-core/src/db/executor/traversal.rs	51	0	2	0	0	0	0	2	executor	query/plan	2	2
db::executor::util	crates/icydb-core/src/db/executor/util.rs	36	0	0	0	1	1	0	0	executor		0	0
db::executor::window	crates/icydb-core/src/db/executor/window.rs	202	1	7	0	2	2	0	11	executor	query/plan,executor	1	1
db::identity	crates/icydb-core/src/db/identity/mod.rs	394	5	10	0	15	15	0	1	support		0	0
db::index::entry	crates/icydb-core/src/db/index/entry.rs	466	4	14	1	9	10	1	7	index/storage	index/storage	0	0
db::index::envelope	crates/icydb-core/src/db/index/envelope.rs	102	1	2	2	0	2	1	0	index/storage		0	0
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	358	0	8	6	13	19	1	11	index/storage	index/storage	0	0
db::index::key::codec::bounds	crates/icydb-core/src/db/index/key/codec/bounds.rs	62	0	4	0	0	0	0	4	index/storage	index/storage	0	0
db::index::key::codec::envelope	crates/icydb-core/src/db/index/key/codec/envelope.rs	39	0	1	0	0	0	0	2	index/storage	index/storage	0	0
db::index::key::codec::error	crates/icydb-core/src/db/index/key/codec/error.rs	14	0	0	0	0	0	0	0	index/storage		0	0
db::index::key::codec	crates/icydb-core/src/db/index/key/codec/mod.rs	199	2	5	1	3	4	1	5	index/storage	index/storage	0	0
db::index::key::codec::scalar	crates/icydb-core/src/db/index/key/codec/scalar.rs	36	1	0	1	0	1	1	1	index/storage	index/storage	0	0
db::index::key::codec::tuple	crates/icydb-core/src/db/index/key/codec/tuple.rs	78	0	4	0	5	5	0	1	index/storage	index/storage	0	0
db::index::key::id	crates/icydb-core/src/db/index/key/id.rs	27	1	0	0	0	0	0	1	index/storage		0	0
db::index::key	crates/icydb-core/src/db/index/key/mod.rs	16	0	0	0	0	0	0	0	index/storage		0	0
db::index::key::ordered::error	crates/icydb-core/src/db/index/key/ordered/error.rs	39	1	0	0	0	0	0	1	index/storage		0	0
db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	162	1	5	1	1	2	1	3	index/storage	index/storage	0	0
db::index::key::ordered::normalize	crates/icydb-core/src/db/index/key/ordered/normalize.rs	220	0	3	0	10	10	0	4	index/storage	index/storage	0	0
db::index::key::ordered::parts	crates/icydb-core/src/db/index/key/ordered/parts.rs	117	0	5	2	3	5	1	4	index/storage	index/storage	0	0
db::index::key::ordered::semantics	crates/icydb-core/src/db/index/key/ordered/semantics.rs	92	1	0	0	2	2	0	7	index/storage	index/storage	0	0
db::index	crates/icydb-core/src/db/index/mod.rs	33	0	0	0	0	0	0	0	index/storage		0	0
db::index::pk_equivalence	crates/icydb-core/src/db/index/pk_equivalence.rs	52	1	1	0	0	0	0	5	index/storage	index/storage	0	0
db::index::plan::commit_ops	crates/icydb-core/src/db/index/plan/commit_ops.rs	133	0	1	1	7	8	1	10	index/storage	index/storage	0	0
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	233	4	2	2	4	6	1	14	index/storage	index/storage	0	0
db::index::plan::private	crates/icydb-core/src/db/index/plan/private.rs	22	2	0	0	0	0	0	2	index/storage		0	0
db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	193	0	1	0	6	6	0	15	index/storage	index/storage	0	0
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	263	1	1	10	6	16	2	9	index/storage	index/storage	0	0
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	179	4	4	2	3	5	1	4	index/storage	index/storage	0	0
db::index::range	crates/icydb-core/src/db/index/range.rs	207	1	5	4	2	6	1	9	index/storage	index/storage	0	0
db::index::scan	crates/icydb-core/src/db/index/scan.rs	262	0	2	2	10	12	1	15	index/storage	executor,index/storage	5	5
db::index::store	crates/icydb-core/src/db/index/store.rs	227	2	10	0	4	4	0	3	index/storage	index/storage	0	0
db	crates/icydb-core/src/db/mod.rs	231	1	10	0	1	1	0	11	support	executor,index/storage	0	0
db::numeric	crates/icydb-core/src/db/numeric/mod.rs	193	1	9	2	2	4	1	3	support		0	0
db::predicate::coercion	crates/icydb-core/src/db/predicate/coercion.rs	132	4	1	2	0	2	1	1	support		0	0
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	611	0	3	9	5	14	2	13	support	codec	0	0
db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	158	0	1	0	0	0	0	7	support		0	0
db::predicate	crates/icydb-core/src/db/predicate/mod.rs	32	0	0	0	0	0	0	0	support		0	0
db::predicate::model	crates/icydb-core/src/db/predicate/model.rs	304	5	20	0	0	0	0	2	support		0	0
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	628	0	2	11	8	19	2	10	support		0	0
db::predicate::resolved	crates/icydb-core/src/db/predicate/resolved.rs	62	2	0	0	0	0	0	3	support		0	0
db::predicate::row_policy	crates/icydb-core/src/db/predicate/row_policy.rs	22	1	0	0	0	0	0	0	support		0	0
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime.rs	279	1	3	7	2	9	1	16	support		0	0
db::predicate::semantics	crates/icydb-core/src/db/predicate/semantics.rs	196	1	5	7	5	12	1	6	support		0	0
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	297	0	1	10	13	23	1	5	support		0	0
db::query::access::access_visitor	crates/icydb-core/src/db/query/access/access_visitor.rs	82	1	1	1	0	1	1	2	query/plan	query/plan	0	0
db::query::access	crates/icydb-core/src/db/query/access/mod.rs	8	0	0	0	0	0	0	0	query/plan		0	0
db::query::api	crates/icydb-core/src/db/query/api/mod.rs	13	0	0	0	0	0	0	0	query/plan		0	0
db::query::api::private	crates/icydb-core/src/db/query/api/private.rs	17	1	0	0	0	0	0	2	query/plan		0	0
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	94	1	0	2	1	3	1	6	query/plan	query/plan	0	0
db::query::builder::aggregate	crates/icydb-core/src/db/query/builder/aggregate.rs	259	1	7	3	2	5	1	2	query/plan	query/plan	0	0
db::query::builder::field	crates/icydb-core/src/db/query/builder/field.rs	189	1	16	2	0	2	1	6	query/plan		0	0
db::query::builder	crates/icydb-core/src/db/query/builder/mod.rs	12	0	0	0	0	0	0	0	query/plan		0	0
db::query::explain::access_projection	crates/icydb-core/src/db/query/explain/access_projection.rs	311	0	3	0	2	2	0	6	query/plan	query/plan,access	0	1
db::query::explain::execution	crates/icydb-core/src/db/query/explain/execution.rs	458	7	3	6	0	6	2	3	query/plan	query/plan	0	0
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	116	0	1	11	1	12	1	1	query/plan	query/plan	0	0
db::query::explain	crates/icydb-core/src/db/query/explain/mod.rs	22	0	0	0	0	0	0	0	query/plan		0	0
db::query::explain::nodes::aggregate	crates/icydb-core/src/db/query/explain/nodes/aggregate.rs	25	0	0	0	0	0	0	1	query/plan	query/plan	0	0
db::query::explain::nodes	crates/icydb-core/src/db/query/explain/nodes/mod.rs	80	0	3	4	6	10	1	2	query/plan	query/plan	0	0
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	20	0	0	0	0	0	0	1	query/plan	query/plan	0	0
db::query::explain::nodes::scan	crates/icydb-core/src/db/query/explain/nodes/scan.rs	21	0	0	0	0	0	0	1	query/plan	query/plan	0	0
db::query::explain::nodes::terminal	crates/icydb-core/src/db/query/explain/nodes/terminal.rs	15	0	0	0	0	0	0	1	query/plan	query/plan	0	0
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	821	15	6	14	2	16	2	15	query/plan	query/plan,access	0	4
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	227	0	2	0	25	25	0	2	query/plan	query/plan	0	0
db::query::explain::writer	crates/icydb-core/src/db/query/explain/writer.rs	141	1	12	1	4	5	1	0	query/plan		0	0
db::query::expr	crates/icydb-core/src/db/query/expr.rs	92	3	3	0	0	0	0	8	query/plan	query/plan	0	0
db::query::fingerprint::aggregate_hash	crates/icydb-core/src/db/query/fingerprint/aggregate_hash.rs	195	1	1	2	1	3	1	3	query/plan	query/plan	0	0
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	948	1	3	0	0	0	0	17	query/plan	intent,query/plan,access,codec	2	4
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	984	1	13	18	6	24	2	14	query/plan	query/plan,access,codec	0	5
db::query::fingerprint	crates/icydb-core/src/db/query/fingerprint/mod.rs	36	0	3	0	0	0	0	2	query/plan	codec	0	2
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	454	1	2	6	2	8	1	7	query/plan	query/plan,codec	0	1
db::query::fingerprint::shape_signature	crates/icydb-core/src/db/query/fingerprint/shape_signature/mod.rs	100	0	2	0	0	0	0	5	query/plan	query/plan,executor	0	1
db::query::fluent::delete	crates/icydb-core/src/db/query/fluent/delete.rs	215	1	19	0	0	0	0	12	query/plan	intent,query/plan	4	4
db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	250	1	23	0	2	2	0	12	query/plan	intent,query/plan	4	4
db::query::fluent::load	crates/icydb-core/src/db/query/fluent/load/mod.rs	12	0	0	0	0	0	0	0	query/plan		0	0
db::query::fluent::load::pagination	crates/icydb-core/src/db/query/fluent/load/pagination.rs	129	1	6	0	0	0	0	7	query/plan	intent,query/plan	2	2
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	652	0	44	0	6	6	0	15	query/plan	intent,query/plan,executor	1	3
db::query::fluent::load::validation	crates/icydb-core/src/db/query/fluent/load/validation.rs	77	0	7	0	2	2	0	4	query/plan	intent,query/plan	2	2
db::query::fluent	crates/icydb-core/src/db/query/fluent/mod.rs	7	0	0	0	0	0	0	0	query/plan		0	0
db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors.rs	390	4	1	7	1	8	1	7	intent	query/plan,executor	0	7
db::query::intent::key_access	crates/icydb-core/src/db/query/intent/key_access.rs	99	3	4	1	0	1	1	8	intent	query/plan,access	0	4
db::query::intent	crates/icydb-core/src/db/query/intent/mod.rs	39	0	0	0	0	0	0	3	intent	query/plan	0	2
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	369	1	20	2	6	8	1	12	intent	intent,query/plan,access	0	25
db::query::intent::mutation	crates/icydb-core/src/db/query/intent/mutation.rs	170	0	12	1	7	8	1	3	intent	intent,query/plan	0	8
db::query::intent::order	crates/icydb-core/src/db/query/intent/order.rs	23	0	1	1	0	1	1	1	intent	query/plan	0	2
db::query::intent::planning	crates/icydb-core/src/db/query/intent/planning.rs	45	0	2	1	0	1	1	3	intent	intent,query/plan	0	2
db::query::intent::policy	crates/icydb-core/src/db/query/intent/policy.rs	43	0	1	1	0	1	1	2	intent	intent,query/plan	0	3
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	800	3	33	7	7	14	1	15	intent	intent,query/plan	0	12
db::query::intent::state	crates/icydb-core/src/db/query/intent/state.rs	543	5	3	18	3	21	2	5	intent	intent,query/plan	0	13
db::query	crates/icydb-core/src/db/query/mod.rs	31	0	0	0	0	0	0	0	query/plan		0	0
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	830	4	2	12	45	57	1	12	query/plan	query/plan	0	0
db::query::plan::access_plan	crates/icydb-core/src/db/query/plan/access_plan.rs	121	1	6	1	0	1	1	5	query/plan	query/plan,access	0	3
db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	93	1	4	1	1	2	1	10	query/plan	query/plan,access	0	1
db::query::plan::constant_predicate	crates/icydb-core/src/db/query/plan/constant_predicate.rs	30	0	1	1	0	1	1	1	query/plan		0	0
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	513	3	14	2	17	19	1	10	query/plan	query/plan,access,executor	0	6
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	495	2	3	2	10	12	1	7	query/plan	query/plan,access	0	2
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	139	5	2	0	0	0	0	2	query/plan	query/plan	0	0
db::query::plan::expr	crates/icydb-core/src/db/query/plan/expr/mod.rs	12	0	0	0	0	0	0	0	query/plan		0	0
db::query::plan::expr::projection	crates/icydb-core/src/db/query/plan/expr/projection.rs	106	3	2	1	0	1	1	1	query/plan	query/plan	0	0
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	372	2	1	9	9	18	1	6	query/plan	query/plan	0	0
db::query::plan::group	crates/icydb-core/src/db/query/plan/group.rs	351	4	1	5	0	5	2	3	query/plan	query/plan	0	0
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	65	0	1	0	5	5	0	2	query/plan	query/plan	0	0
db::query::plan::limit_zero	crates/icydb-core/src/db/query/plan/limit_zero.rs	12	0	1	0	1	1	0	1	query/plan	query/plan	0	0
db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	183	2	2	2	3	5	1	4	query/plan	query/plan	0	0
db::query::plan	crates/icydb-core/src/db/query/plan/mod.rs	94	0	0	0	0	0	0	0	query/plan		0	0
db::query::plan::model	crates/icydb-core/src/db/query/plan/model.rs	565	22	7	2	5	7	1	6	query/plan	query/plan,executor	0	1
db::query::plan::model_builder	crates/icydb-core/src/db/query/plan/model_builder.rs	72	0	1	0	0	0	0	1	query/plan	query/plan	0	0
db::query::plan::order_contract	crates/icydb-core/src/db/query/plan/order_contract.rs	134	2	2	4	1	5	1	2	query/plan	query/plan	0	0
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	216	0	1	3	16	19	2	10	query/plan	query/plan,access	0	2
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	76	0	4	0	2	2	0	6	query/plan		0	0
db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	90	1	1	0	0	0	0	8	query/plan	query/plan,access	0	1
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	126	0	1	1	10	11	1	10	query/plan	query/plan,access	0	1
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	141	0	3	1	11	12	1	9	query/plan	query/plan,access	0	1
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	382	0	1	12	16	28	2	12	query/plan	query/plan,access	0	1
db::query::plan::projection	crates/icydb-core/src/db/query/plan/projection.rs	107	0	2	3	0	3	1	3	query/plan	query/plan	0	0
db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	516	1	2	2	0	2	1	6	query/plan	query/plan,access	0	2
db::query::plan::semantics::group_distinct	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	266	3	6	4	8	12	1	2	query/plan	query/plan	0	0
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	124	1	2	1	3	4	1	5	query/plan	query/plan	0	0
db::query::plan::semantics::group_model	crates/icydb-core/src/db/query/plan/semantics/group_model.rs	175	0	5	0	0	0	0	4	query/plan	query/plan	0	0
db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	101	1	1	0	8	8	0	2	query/plan	query/plan,access	0	1
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	184	0	5	7	4	11	1	4	query/plan	query/plan,access	0	1
db::query::plan::semantics	crates/icydb-core/src/db/query/plan/semantics/mod.rs	33	0	0	0	0	0	0	0	query/plan		0	0
db::query::plan::semantics::pushdown	crates/icydb-core/src/db/query/plan/semantics/pushdown.rs	87	1	2	0	0	0	0	2	query/plan	query/plan	0	0
db::query::plan::stability	crates/icydb-core/src/db/query/plan/stability.rs	71	0	2	0	0	0	0	5	query/plan	access	0	4
db::query::plan::validate::core	crates/icydb-core/src/db/query/plan/validate/core.rs	126	0	2	1	2	3	1	6	query/plan	query/plan,access	0	1
db::query::plan::validate::cursor_policy	crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs	115	0	1	2	0	2	1	1	query/plan	query/plan	0	0
db::query::plan::validate::errors	crates/icydb-core/src/db/query/plan/validate/errors.rs	477	12	0	0	1	1	0	3	query/plan	access,executor	0	2
db::query::plan::validate::fluent_policy	crates/icydb-core/src/db/query/plan/validate/fluent_policy.rs	213	0	2	2	0	2	2	2	query/plan	query/plan	0	0
db::query::plan::validate::grouped::cursor	crates/icydb-core/src/db/query/plan/validate/grouped/cursor/mod.rs	42	0	1	0	0	0	0	1	query/plan	query/plan	0	0
db::query::plan::validate::grouped	crates/icydb-core/src/db/query/plan/validate/grouped/mod.rs	16	0	0	0	0	0	0	0	query/plan		0	0
db::query::plan::validate::grouped::policy	crates/icydb-core/src/db/query/plan/validate/grouped/policy/mod.rs	117	0	1	2	0	2	1	2	query/plan	query/plan	0	0
db::query::plan::validate::grouped::policy::rules	crates/icydb-core/src/db/query/plan/validate/grouped/policy/rules.rs	198	0	3	0	0	0	0	3	query/plan	query/plan	0	0
db::query::plan::validate::grouped::projection_expr	crates/icydb-core/src/db/query/plan/validate/grouped/projection_expr/mod.rs	68	0	2	2	0	2	1	2	query/plan	query/plan	0	0
db::query::plan::validate::grouped::structure	crates/icydb-core/src/db/query/plan/validate/grouped/structure/mod.rs	151	0	1	2	1	3	1	3	query/plan	query/plan	0	0
db::query::plan::validate::intent_policy	crates/icydb-core/src/db/query/plan/validate/intent_policy.rs	259	0	2	0	1	1	0	2	query/plan	query/plan	0	0
db::query::plan::validate	crates/icydb-core/src/db/query/plan/validate/mod.rs	45	0	0	0	0	0	0	0	query/plan		0	0
db::query::plan::validate::order	crates/icydb-core/src/db/query/plan/validate/order.rs	82	0	3	0	1	1	0	3	query/plan	query/plan	0	0
db::query::plan::validate::plan_shape	crates/icydb-core/src/db/query/plan/validate/plan_shape.rs	162	0	4	1	3	4	1	1	query/plan	query/plan	0	0
db::query::plan::validate::symbols	crates/icydb-core/src/db/query/plan/validate/symbols.rs	24	0	1	0	0	0	0	2	query/plan	query/plan	0	0
db::query::policy	crates/icydb-core/src/db/query/policy.rs	23	0	0	0	0	0	0	1	query/plan	query/plan	0	0
db::query::trace	crates/icydb-core/src/db/query/trace.rs	75	2	0	0	0	0	0	1	query/plan	query/plan	0	0
db::registry	crates/icydb-core/src/db/registry.rs	282	3	8	1	2	3	1	7	support	index/storage	0	0
db::relation::metadata	crates/icydb-core/src/db/relation/metadata.rs	111	2	1	1	2	3	1	2	index/storage		0	0
db::relation	crates/icydb-core/src/db/relation/mod.rs	268	2	5	5	3	8	1	11	index/storage	index/storage	0	0
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	319	0	5	2	9	11	1	25	index/storage	index/storage	0	0
db::relation::save_validate	crates/icydb-core/src/db/relation/save_validate.rs	100	0	1	0	1	1	0	11	index/storage	index/storage	0	0
db::relation::validate	crates/icydb-core/src/db/relation/validate.rs	139	0	1	0	3	3	0	14	index/storage	index/storage	0	0
db::response::grouped	crates/icydb-core/src/db/response/grouped.rs	166	3	7	0	0	0	0	3	support		0	0
db::response	crates/icydb-core/src/db/response/mod.rs	355	8	15	0	2	2	0	5	support		0	0
db::response::paged	crates/icydb-core/src/db/response/paged.rs	153	2	8	0	0	0	0	5	support		0	0
db::response::private	crates/icydb-core/src/db/response/private.rs	12	1	0	0	0	0	0	0	support		0	0
db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	670	6	1	5	1	6	1	8	support		0	0
db::schema::errors	crates/icydb-core/src/db/schema/errors.rs	91	1	2	0	0	0	0	5	support		0	0
db::schema::fingerprint	crates/icydb-core/src/db/schema/fingerprint.rs	59	0	1	0	0	0	0	3	support	index/storage	0	0
db::schema::format	crates/icydb-core/src/db/schema/format.rs	25	0	1	0	1	1	0	1	support		0	0
db::schema::info	crates/icydb-core/src/db/schema/info.rs	148	1	3	0	8	8	0	8	support		0	0
db::schema	crates/icydb-core/src/db/schema/mod.rs	25	0	0	0	0	0	0	0	support		0	0
db::schema::types	crates/icydb-core/src/db/schema/types.rs	280	2	2	16	1	17	2	4	support		0	0
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	360	0	2	7	20	27	1	13	support		0	0
db::session	crates/icydb-core/src/db/session.rs	3367	1	30	16	9	25	2	56	support	intent,query/plan,access,executor,index/storage	0	0
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	1457	4	2	16	34	50	2	15	query/plan	intent,query/plan,executor	2	3
db::sql	crates/icydb-core/src/db/sql/mod.rs	7	0	0	0	0	0	0	0	query/plan		0	0
db::sql::parser	crates/icydb-core/src/db/sql/parser.rs	1683	13	1	11	74	85	1	7	query/plan	query/plan	0	0
error	crates/icydb-core/src/error/mod.rs	535	6	31	3	2	5	1	1	support		0	0
