module_path	file	loc	pub_types	pub_fns	match_count	if_count	branch_pressure	max_match_depth	fanout	module_layer	import_layers_touched	upward_imports	cross_layer_imports
db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	78	1	1	1	1	2	1	10	executor	query/plan,executor	2	2
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	168	0	2	0	1	1	0	8	index/storage	index/storage	0	0
db::data::key	crates/icydb-core/src/db/data/key.rs	454	5	9	0	3	3	0	9	index/storage		0	0
db::data	crates/icydb-core/src/db/data/mod.rs	18	0	0	0	0	0	0	3	index/storage		0	0
db::data::row	crates/icydb-core/src/db/data/row.rs	147	4	3	0	1	1	0	8	index/storage	index/storage,codec	0	2
db::data::store	crates/icydb-core/src/db/data/store.rs	56	1	6	0	0	0	0	3	index/storage	index/storage	0	0
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	397	5	4	5	2	7	2	9	support	query/plan,access	0	0
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	432	4	1	2	5	7	1	8	support	index/storage	0	0
db::direction	crates/icydb-core/src/db/direction.rs	20	1	0	0	0	0	0	0	support		0	0
db::error::access	crates/icydb-core/src/db/error/access.rs	12	0	1	0	0	0	0	2	support	access	0	0
db::error::cursor	crates/icydb-core/src/db/error/cursor.rs	42	0	2	1	0	1	1	4	support	executor	0	0
db::error::executor	crates/icydb-core/src/db/error/executor.rs	36	0	4	0	0	0	0	3	support		0	0
db::error	crates/icydb-core/src/db/error/mod.rs	22	0	0	0	0	0	0	0	support		0	0
db::error::planner	crates/icydb-core/src/db/error/planner.rs	72	0	5	4	0	4	2	4	support	query/plan	0	0
db::error::query	crates/icydb-core/src/db/error/query.rs	21	0	2	0	0	0	0	3	support		0	0
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	398	4	5	1	11	12	1	9	executor	query/plan,executor	2	2
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	37	1	0	0	0	0	0	1	executor		0	0
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	416	3	5	0	12	12	0	5	executor	executor	0	0
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	296	4	7	5	2	7	1	7	executor	executor,index/storage	0	1
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	13	0	0	0	0	0	0	0	executor		0	0
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	20	0	0	0	0	0	0	0	executor		0	0
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	74	1	0	2	0	2	1	4	executor	query/plan	1	1
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	321	6	3	5	8	13	2	8	executor	executor,index/storage	0	1
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	106	0	2	0	4	4	0	9	executor	query/plan,executor	3	3
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	94	3	0	0	0	0	0	13	executor	query/plan,executor,index/storage	2	3
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	497	0	3	2	15	17	1	15	executor	query/plan,executor,index/storage	1	2
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	398	2	12	3	9	12	1	12	executor	query/plan,executor	1	1
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	320	0	3	3	13	16	2	19	executor	executor,index/storage	0	1
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	277	0	6	4	8	12	2	13	executor	executor	0	0
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct.rs	50	0	1	0	0	0	0	3	executor	executor	0	0
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	423	0	3	3	6	9	1	18	executor	query/plan,executor,index/storage	1	3
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	361	0	3	4	8	12	1	23	executor	query/plan,access,executor	3	3
