module_path	file	pass_through_count	max_chain_depth
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	2	1
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	0	0
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	0	0
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	0	0
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	0	0
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	0	0
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	0	0
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	0	0
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	0	0
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	0	0
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	0	0
db::access	crates/icydb-core/src/db/access/mod.rs	0	0
db::access::path	crates/icydb-core/src/db/access/path.rs	0	0
db::access::plan	crates/icydb-core/src/db/access/plan.rs	12	4
db::access::validate	crates/icydb-core/src/db/access/validate.rs	0	0
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	0	0
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	1	1
db::codec	crates/icydb-core/src/db/codec/mod.rs	0	0
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	1	8
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	1	3
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	0	0
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	0	0
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	0	0
db::commit	crates/icydb-core/src/db/commit/mod.rs	3	1
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	0	0
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	0	0
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	0	0
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	0	0
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	0	0
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	0	0
db::commit::store	crates/icydb-core/src/db/commit/store.rs	4	4
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	0	0
db::contracts::rules	crates/icydb-core/src/db/contracts/rules.rs	0	0
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	1	1
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	3	3
