state_machine	file	line	states	transition_refs
SaveMode	crates/icydb-core/src/db/executor/mutation/save.rs	39	3	15
KeyOrderState	crates/icydb-core/src/db/executor/stream/access/physical.rs	32	3	14
LoadMode	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	55	3	10
LoadPipelineState	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	164	1	7
LoadPipelineStage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	14	6	6
SqlExplainMode	crates/icydb-core/src/db/sql/parser.rs	146	3	5
StreamInputMode	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	37	2	4
LoadTracingMode	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	42	2	3
ContinuationMode	crates/icydb-core/src/db/executor/continuation/route.rs	19	3	2
ExplainExecutionMode	crates/icydb-core/src/db/query/explain/execution.rs	66	2	2
RouteExecutionMode	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	24	2	2
TextMode	crates/icydb-core/src/value/mod.rs	59	2	2
AggregateReducerState	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	40	7	1
AccessExecutionMode	crates/icydb-core/src/db/access/execution_contract/types.rs	16	5	0
ExecutionDistinctMode	crates/icydb-core/src/db/access/execution_contract/types.rs	43	3	0
AggregateFoldMode	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	318	2	0
QueryMode	crates/icydb-core/src/db/query/plan/model.rs	24	2	0
