kind,fields,depth,width,repeat,admission,reload,cold,clone,drop,four_clones,four_rc_clones,retention,cache_weight,full_weight,bundle_bytes,total_fields
0,1,0,8,0,426171,267208,9162,2759,1047,15060,533,1999,2640,2640,429,2
0,1,0,8,1,426171,267208,9162,2759,1047,15060,533,1999,2640,2640,429,2
0,1,0,8,2,426171,267208,9162,2759,1047,15060,533,1999,2640,2640,429,2
0,16,0,8,0,1877002,1101407,75388,13268,3387,66456,533,7174,5400,5400,1622,17
0,16,0,8,1,1877002,1101407,75388,13268,3387,66456,533,7174,5400,5400,1622,17
0,16,0,8,2,1877002,1101407,75388,13268,3387,66456,533,7174,5400,5400,1622,17
0,64,0,8,0,14204685,7037194,373716,46964,10875,231192,533,23734,14232,14232,5462,65
0,64,0,8,1,14204685,7037194,373716,46964,10875,231192,533,23734,14232,14232,5462,65
0,64,0,8,2,14204685,7037194,373716,46964,10875,231192,533,23734,14232,14232,5462,65
0,254,0,8,0,135767982,61879149,2204275,260806,40515,883272,533,89284,49192,49192,20818,255
0,254,0,8,1,135767982,61879149,2204275,260806,40515,883272,533,89284,49192,49192,20818,255
0,254,0,8,2,135767982,61879149,2204275,260806,40515,883272,533,89284,49192,49192,20818,255
0,64,0,120,0,16045452,8741469,380884,46964,10875,231192,533,23734,21400,21400,12630,65
0,64,0,120,1,16045452,8741469,380884,46964,10875,231192,533,23734,21400,21400,12630,65
0,64,0,120,2,16045452,8741469,380884,46964,10875,231192,533,23734,21400,21400,12630,65
0,254,0,120,0,143468598,68717280,2232723,180344,40515,883272,533,89284,77640,77640,49266,255
0,254,0,120,1,143468598,68717280,2232723,180344,40515,883272,533,89284,77640,77640,49266,255
0,254,0,120,2,143468598,68717280,2232723,180344,40515,883272,533,89284,77640,77640,49266,255
1,1,8,0,0,1707329,892687,726382,81292,114929,784844,533,109461,45142,45142,693,2
1,1,8,0,1,1707329,892687,726382,81292,114929,784844,533,109461,45142,45142,693,2
1,1,8,0,2,1707329,892687,726382,81292,114929,784844,533,109461,45142,45142,693,2
1,16,8,0,0,16065470,8176460,12275066,1430870,1826099,12384140,533,1644636,506782,506782,1811,17
1,16,8,0,1,16065470,8176460,12275066,1430870,1826099,12384140,533,1644636,506782,506782,1811,17
1,16,8,0,2,16065470,8176460,12275066,1430870,1826099,12384140,533,1644636,506782,506782,1811,17
1,64,8,0,0,69691096,34735975,49172428,5717402,7301843,49502195,533,6557196,1984030,1984030,5411,65
1,64,8,0,1,69691096,34735975,49172428,5717402,7301843,49502195,533,6557196,1984030,1984030,5411,65
1,64,8,0,2,69691096,34735975,49172428,5717402,7301843,49502195,533,6557196,1984030,1984030,5411,65
1,254,8,0,0,354752467,171243556,195884221,22705040,28976752,196427779,533,13911065,0,7831470,19817,255
1,254,8,0,1,354752467,171243556,195884221,22705040,28976752,196427779,533,13911065,0,7831470,19817,255
1,254,8,0,2,354752467,171243556,195884221,22705040,28976752,196427779,533,13911065,0,7831470,19817,255
1,1,10,0,0,4413476,2241745,3045386,317836,458897,3106892,533,417913,139974,139974,757,2
1,1,10,0,1,4413476,2241745,3045386,317836,458897,3106892,533,417913,139974,139974,757,2
1,1,10,0,2,4413476,2241745,3045386,317836,458897,3106892,533,417913,139974,139974,757,2
1,16,10,0,0,57620151,28948964,48976820,5698346,7329587,49536947,533,6561088,1984014,1984014,1875,17
1,16,10,0,1,57620151,28948964,48976820,5698346,7329587,49536947,533,6561088,1984014,1984014,1875,17
1,16,10,0,2,57620151,28948964,48976820,5698346,7329587,49536947,533,6561088,1984014,1984014,1875,17
1,64,10,0,0,235556807,117664007,195979444,22787306,29315884,198113371,533,14014894,0,7884942,5475,65
1,64,10,0,1,235556807,117664007,195979444,22787306,29315884,198113371,533,14014894,0,7884942,5475,65
1,64,10,0,2,235556807,117664007,195979444,22787306,29315884,198113371,533,14014894,0,7884942,5475,65
1,254,10,0,0,1012681812,500203728,778474277,90511568,116344741,786228439,533,13906167,0,31242782,19881,255
1,254,10,0,1,1012681812,500203728,778474277,90511568,116344741,786228439,533,13906167,0,31242782,19881,255
1,254,10,0,2,1012681812,500203728,778474277,90511568,116344741,786228439,533,13906167,0,31242782,19881,255
2,1,8,16,0,15534335,7840347,22287,14916,11014,103680,533,14165,18316,18316,1328,2
2,1,8,16,1,15534335,7840347,22287,14916,11014,103680,533,14165,18316,18316,1328,2
2,1,8,16,2,15534335,7840347,22287,14916,11014,103680,533,14165,18316,18316,1328,2
2,16,8,16,0,231821298,116465213,285388,207930,162499,1481676,533,79100,40396,40396,7006,17
2,16,8,16,1,231821298,116465213,285388,207930,162499,1481676,533,79100,40396,40396,7006,17
2,16,8,16,2,231821298,116465213,285388,207930,162499,1481676,533,79100,40396,40396,7006,17
2,64,8,1,0,71290675,35748153,492180,104106,64259,673420,533,45677,32137,32137,6673,65
2,64,8,1,1,71290675,35748153,492180,104106,64259,673420,533,45677,32137,32137,6673,65
2,64,8,1,2,71290675,35748153,492180,104106,64259,673420,533,45677,32137,32137,6673,65
2,1,10,16,0,60627844,30384972,22127,14916,11014,103680,533,15531,20988,20988,1392,2
2,1,10,16,1,60627844,30384972,22127,14916,11014,103680,533,15531,20988,20988,1392,2
2,1,10,16,2,60627844,30384972,22127,14916,11014,103680,533,15531,20988,20988,1392,2
2,8,10,16,0,476657730,238608229,140589,104978,81707,746700,533,45834,31292,31292,4038,9
2,8,10,16,1,476657730,238608229,140589,104978,81707,746700,533,45834,31292,31292,4038,9
2,8,10,16,2,476657730,238608229,140589,104978,81707,746700,533,45834,31292,31292,4038,9
