 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         651814 ┊     27.17% ┊ export "canister_query query_one_complex_fluent"
             31 ┊      0.00% ┊                       ⤷ code[4659]
             31 ┊      0.00% ┊                       ⤷ code[4660]
             27 ┊      0.00% ┊                       ⤷ code[4762]
             22 ┊      0.00% ┊                       ⤷ code[4948]
             18 ┊      0.00% ┊                       ⤷ code[5317]
           1396 ┊      0.06% ┊                   ⤷ code[318]
            113 ┊      0.00% ┊                       ⤷ code[2671]
             13 ┊      0.00% ┊                       ⤷ type[68]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
            325 ┊      0.01% ┊                   ⤷ code[1084]
          16062 ┊      0.67% ┊               ⤷ code[119]
           6134 ┊      0.26% ┊                   ⤷ code[258]
           3819 ┊      0.16% ┊                       ⤷ code[392]
           2072 ┊      0.09% ┊                           ⤷ code[257]
            188 ┊      0.01% ┊                               ⤷ code[1853]
            134 ┊      0.01% ┊                               ⤷ code[2334]
             87 ┊      0.00% ┊                               ⤷ code[2927]
             11 ┊      0.00% ┊                               ⤷ type[67]: (i32, i64, i32, i32, i32, i32, i32, i32) -> nil
            587 ┊      0.02% ┊                           ⤷ code[955]
            180 ┊      0.01% ┊                               ⤷ code[2006]
             79 ┊      0.00% ┊                           ⤷ code[3042]
             15 ┊      0.00% ┊                           ⤷ code[5657]
            475 ┊      0.02% ┊                       ⤷ code[891]
             90 ┊      0.00% ┊                       ⤷ code[2926]
             74 ┊      0.00% ┊                       ⤷ code[3298]
             59 ┊      0.00% ┊                       ⤷ code[3737]
           3429 ┊      0.14% ┊                   ⤷ code[512]
           1383 ┊      0.06% ┊                       ⤷ code[1192]
           1035 ┊      0.04% ┊                           ⤷ code[389]
           1109 ┊      0.05% ┊                       ⤷ code[1193]
            761 ┊      0.03% ┊                           ⤷ code[523]
            120 ┊      0.01% ┊                       ⤷ code[2273]
           1140 ┊      0.05% ┊                   ⤷ code[510]
            126 ┊      0.01% ┊                       ⤷ code[2269]
             76 ┊      0.00% ┊                       ⤷ code[3035]
             67 ┊      0.00% ┊                       ⤷ code[3547]
             53 ┊      0.00% ┊                       ⤷ code[3883]
             15 ┊      0.00% ┊                       ⤷ code[5477]
            777 ┊      0.03% ┊                   ⤷ code[511]
            735 ┊      0.03% ┊                   ⤷ code[537]
            244 ┊      0.01% ┊                   ⤷ code[2165]
             98 ┊      0.00% ┊                       ⤷ code[2670]
            154 ┊      0.01% ┊                   ⤷ code[2157]
            139 ┊      0.01% ┊                   ⤷ code[2224]
             30 ┊      0.00% ┊                   ⤷ code[4848]
         184536 ┊      7.69% ┊ [2 Unreachable Items]
