 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────
         651878 ┊     26.91% ┊ export "canister_query query_ten_complex_fluent"
             31 ┊      0.00% ┊                       ⤷ code[4678]
             31 ┊      0.00% ┊                       ⤷ code[4679]
             27 ┊      0.00% ┊                       ⤷ code[4783]
             22 ┊      0.00% ┊                       ⤷ code[4966]
             18 ┊      0.00% ┊                       ⤷ code[5335]
           1396 ┊      0.06% ┊                   ⤷ code[328]
            113 ┊      0.00% ┊                       ⤷ code[2690]
             13 ┊      0.00% ┊                       ⤷ type[68]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
            325 ┊      0.01% ┊                   ⤷ code[1103]
          16062 ┊      0.66% ┊               ⤷ code[119]
           6134 ┊      0.25% ┊                   ⤷ code[258]
           3819 ┊      0.16% ┊                       ⤷ code[402]
           2072 ┊      0.09% ┊                           ⤷ code[257]
            188 ┊      0.01% ┊                               ⤷ code[1872]
            134 ┊      0.01% ┊                               ⤷ code[2353]
             87 ┊      0.00% ┊                               ⤷ code[2947]
             11 ┊      0.00% ┊                               ⤷ type[67]: (i32, i64, i32, i32, i32, i32, i32, i32) -> nil
            587 ┊      0.02% ┊                           ⤷ code[975]
            180 ┊      0.01% ┊                               ⤷ code[2025]
             79 ┊      0.00% ┊                           ⤷ code[3062]
             15 ┊      0.00% ┊                           ⤷ code[5677]
            475 ┊      0.02% ┊                       ⤷ code[910]
             90 ┊      0.00% ┊                       ⤷ code[2946]
             74 ┊      0.00% ┊                       ⤷ code[3318]
             59 ┊      0.00% ┊                       ⤷ code[3756]
           3429 ┊      0.14% ┊                   ⤷ code[522]
           1383 ┊      0.06% ┊                       ⤷ code[1212]
           1035 ┊      0.04% ┊                           ⤷ code[399]
           1109 ┊      0.05% ┊                       ⤷ code[1213]
            761 ┊      0.03% ┊                           ⤷ code[533]
            120 ┊      0.00% ┊                       ⤷ code[2292]
           1140 ┊      0.05% ┊                   ⤷ code[520]
            126 ┊      0.01% ┊                       ⤷ code[2288]
             76 ┊      0.00% ┊                       ⤷ code[3054]
             67 ┊      0.00% ┊                       ⤷ code[3566]
