 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼────────────────────────────────────────────────────────────────────────────────────────────
        1106998 ┊     37.74% ┊ export "canister_query query_one_sql"
           6084 ┊      0.21% ┊                   ⤷ code[102]
           1831 ┊      0.06% ┊                       ⤷ code[258]
             79 ┊      0.00% ┊                       ⤷ code[3673]
             74 ┊      0.00% ┊                       ⤷ code[3843]
           4335 ┊      0.15% ┊                   ⤷ code[273]
            985 ┊      0.03% ┊                       ⤷ code[495]
            455 ┊      0.02% ┊                       ⤷ code[1032]
            349 ┊      0.01% ┊                       ⤷ code[1325]
            180 ┊      0.01% ┊                       ⤷ code[2291]
            152 ┊      0.01% ┊                       ⤷ code[2737]
            135 ┊      0.00% ┊                       ⤷ code[2611]
             60 ┊      0.00% ┊                       ⤷ code[4478]
             59 ┊      0.00% ┊                       ⤷ code[4691]
           4219 ┊      0.14% ┊                   ⤷ code[103]
           4080 ┊      0.14% ┊                   ⤷ code[106]
           3988 ┊      0.14% ┊                   ⤷ code[2382]
           3824 ┊      0.13% ┊                       ⤷ code[310]
           2400 ┊      0.08% ┊                           ⤷ code[232]
            405 ┊      0.01% ┊                               ⤷ code[1089]
            192 ┊      0.01% ┊                               ⤷ code[2027]
             29 ┊      0.00% ┊                           ⤷ code[5470]
           3943 ┊      0.13% ┊                   ⤷ code[333]
           1027 ┊      0.04% ┊                       ⤷ code[532]
           1009 ┊      0.03% ┊                       ⤷ code[543]
             87 ┊      0.00% ┊                       ⤷ code[3432]
             48 ┊      0.00% ┊                       ⤷ code[4880]
             40 ┊      0.00% ┊                       ⤷ code[5545]
             37 ┊      0.00% ┊                       ⤷ code[5446]
             31 ┊      0.00% ┊                       ⤷ code[5765]
           3730 ┊      0.13% ┊                   ⤷ code[2383]
           3566 ┊      0.12% ┊                       ⤷ code[343]
           2179 ┊      0.07% ┊                           ⤷ code[244]
            313 ┊      0.01% ┊                               ⤷ code[1426]
            132 ┊      0.00% ┊                               ⤷ code[2620]
             64 ┊      0.00% ┊                           ⤷ code[4135]
             29 ┊      0.00% ┊                           ⤷ code[5473]
           3073 ┊      0.10% ┊                   ⤷ code[1121]
           2627 ┊      0.09% ┊                       ⤷ code[204]
            212 ┊      0.01% ┊                           ⤷ code[1830]
            133 ┊      0.00% ┊                           ⤷ code[2551]
             86 ┊      0.00% ┊                           ⤷ code[3393]
             84 ┊      0.00% ┊                           ⤷ code[3608]
             84 ┊      0.00% ┊                           ⤷ code[3609]
             64 ┊      0.00% ┊                       ⤷ code[4176]
           2877 ┊      0.10% ┊                   ⤷ code[179]
             84 ┊      0.00% ┊                       ⤷ code[3935]
         240520 ┊      8.20% ┊ [2 Unreachable Items]
