artifact,query,repeat,entry,request_ready,session_ready,query_complete,request_complete,local_instructions,whole_update_cycles
baseline,primary_key,0,1933412,2095313,3859259,5869184,5870198,3773871,17434898
baseline,primary_key,1,1853407,1935230,3458558,5306896,5307883,3371666,17612768
baseline,primary_key,2,1853559,2095426,3698115,5465424,5466447,3369998,17609081
baseline,indexed_equality,0,2413447,2415348,4020433,6483202,6484216,4067854,18224914
baseline,indexed_equality,1,1453454,1615224,3298554,6560688,6561677,4945464,18402044
baseline,indexed_equality,2,1533517,1855339,3458413,6558295,6559311,4702956,18398174
baseline,indexed_range,0,2013642,2175543,3859165,6418917,6419931,4243374,18233111
baseline,indexed_range,1,2093637,2255453,3779069,6499004,6500196,4243551,18412363
baseline,indexed_range,2,1773632,1855455,3459163,6419355,6420342,4563900,18408788
baseline,primary_key_in,0,1693432,1855333,3619853,6108862,6109876,4253529,17624982
baseline,primary_key_in,1,1613478,1935300,3217246,5704512,5705526,3769212,17797774
baseline,primary_key_in,2,1693456,1775279,3217372,5785486,5786500,4010207,17798487
baseline,count,0,2173321,2335222,3861505,6039076,6040092,3703854,17658768
baseline,count,1,1933264,2095131,3379711,5635815,5636856,3540684,17752271
baseline,count,2,1533240,1775107,3618611,5716003,5717046,3940896,17752683
baseline,grouped_count,0,2413423,2415324,4099556,6482176,6483190,4066852,18073397
baseline,grouped_count,1,2333423,2335296,3779573,6322963,6324004,3987667,18251337
baseline,grouped_count,2,1533356,1935229,3299870,6322632,6323673,4387403,18250250
candidate,primary_key,0,1853409,2255232,3858398,5229827,5230841,2974595,17192159
candidate,primary_key,1,1853411,2015206,3378300,5067372,5068421,3052166,17370250
candidate,primary_key,2,1853576,2175422,3377294,4907085,4908054,2731663,17368961
candidate,indexed_equality,0,2093454,2415283,3938501,6399586,6400600,3984303,18138167
candidate,indexed_equality,1,1533456,1695259,3217912,6235616,6236638,4540357,18313097
candidate,indexed_equality,2,1773456,1935173,3538524,6316034,6317079,4380861,18313778
candidate,indexed_range,0,1533642,2175496,3699300,6182160,6183147,4006664,17989859
candidate,indexed_range,1,1853636,2015401,3457309,5856229,5857251,3840828,18163900
candidate,indexed_range,2,1933640,2095482,3457989,6097779,6098748,4002297,18166803
candidate,primary_key_in,0,1853493,1935276,4019233,5868604,5869618,3933328,17461849
candidate,primary_key_in,1,1853456,2335394,3777714,5786101,5787150,3450707,17639122
candidate,primary_key_in,2,1773457,2095336,3456279,5784574,5785570,3689238,17639125
candidate,count,0,2013262,2335085,4018015,5635525,5636541,3300440,17411376
candidate,count,1,1693263,1695024,3216744,5069463,5070456,3374439,17581474
candidate,count,2,1693285,1855140,3296361,5075977,5077017,3220837,17590594
candidate,grouped_count,0,1693405,2175264,3859872,6165682,6166696,3990418,17914746
candidate,grouped_count,1,1613424,1775188,3377271,5997618,5998694,4222430,18005910
candidate,grouped_count,2,1453404,1535121,3296905,5998558,5999607,4463437,18005895
