artifact,step,allocated_wasm_bytes,stable_bytes
baseline,0,4784128,39911424
baseline,1,4784128,39911424
baseline,2,4784128,39911424
baseline,3,4784128,39911424
baseline,4,4784128,39911424
candidate,0,4784128,39911424
candidate,1,4784128,39911424
candidate,2,4784128,39911424
candidate,3,4784128,39911424
candidate,4,4784128,39911424
