 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────
         419737 ┊     29.90% ┊ export "canister_query query"
             22 ┊      0.00% ┊                                               ⤷ code[2930]
             19 ┊      0.00% ┊                                               ⤷ code[3062]
             57 ┊      0.00% ┊                                           ⤷ code[2492]
             35 ┊      0.00% ┊                                           ⤷ code[2685]
            354 ┊      0.03% ┊                                       ⤷ code[702]
             45 ┊      0.00% ┊                                           ⤷ code[2490]
             58 ┊      0.00% ┊                                       ⤷ code[2398]
             46 ┊      0.00% ┊                                       ⤷ code[2546]
             31 ┊      0.00% ┊                                       ⤷ code[2803]
             25 ┊      0.00% ┊                                       ⤷ code[2873]
             17 ┊      0.00% ┊                                       ⤷ code[3185]
           2125 ┊      0.15% ┊                                   ⤷ code[2572]
           1828 ┊      0.13% ┊                                       ⤷ code[1070]
           1655 ┊      0.12% ┊                                           ⤷ code[185]
            262 ┊      0.02% ┊                                               ⤷ code[749]
            132 ┊      0.01% ┊                                               ⤷ code[1276]
             14 ┊      0.00% ┊                                               ⤷ code[3284]
            208 ┊      0.01% ┊                                       ⤷ code[967]
             50 ┊      0.00% ┊                                       ⤷ code[2459]
            366 ┊      0.03% ┊                                   ⤷ code[588]
            246 ┊      0.02% ┊                                   ⤷ code[820]
            231 ┊      0.02% ┊                                   ⤷ code[855]
            227 ┊      0.02% ┊                                   ⤷ code[848]
             80 ┊      0.01% ┊                                   ⤷ code[1789]
             78 ┊      0.01% ┊                                   ⤷ code[1845]
             75 ┊      0.01% ┊                                   ⤷ code[1874]
             65 ┊      0.00% ┊                                   ⤷ code[2102]
             64 ┊      0.00% ┊                                   ⤷ code[2141]
             59 ┊      0.00% ┊                                   ⤷ code[2219]
             43 ┊      0.00% ┊                                   ⤷ code[2516]
             41 ┊      0.00% ┊                                   ⤷ code[2628]
             15 ┊      0.00% ┊                                   ⤷ code[3272]
           2111 ┊      0.15% ┊                           ⤷ code[127]
            335 ┊      0.02% ┊                               ⤷ code[641]
