artifact,query,repeat,entry,request_ready,session_ready,query_complete,request_complete,local_instructions,whole_update_cycles
baseline,primary_key,0,1853410,2255286,4016728,5545992,5547006,3290706,17191638
baseline,primary_key,1,1853410,2095286,4180821,5630163,5631177,3534877,17358027
baseline,primary_key,2,1853468,2095344,3778013,5547275,5548289,3451931,17351617
baseline,indexed_equality,0,2173696,2495572,4017614,6478984,6479998,3983412,17896543
baseline,indexed_equality,1,2413454,2495330,3940291,6566631,6567645,4071301,18067126
baseline,indexed_equality,2,1773701,2015576,4018137,6485921,6486937,4470345,18068761
baseline,indexed_range,0,1853663,2095539,4017115,6418099,6419113,4322560,17986011
baseline,indexed_range,1,1773637,1935512,3619970,6421926,6422940,4486414,18157023
baseline,indexed_range,2,1773657,1775533,3780305,6421667,6422681,4646134,18154037
baseline,primary_key_in,0,2333690,2335566,4097539,5865902,5866916,3530336,17461221
baseline,primary_key_in,1,1693495,1855370,4020529,5871232,5872246,4015862,17624561
baseline,primary_key_in,2,2013735,2335615,3858184,5788289,5789305,3452674,17624350
baseline,count,0,2013284,2175160,4016635,5793830,5794846,3618670,17402081
baseline,count,1,1693264,1935139,3936814,5873523,5874537,3938384,17562945
baseline,count,2,1693241,2015117,4016706,5793056,5794070,3777939,17562991
baseline,grouped_count,0,1933405,2335281,4017038,6478095,6479109,4142814,17979652
baseline,grouped_count,1,1853425,2175301,3856305,6558241,6559255,4382940,18144631
baseline,grouped_count,2,1693399,1935274,3696276,6477729,6478745,4542455,18142895
candidate,primary_key,0,2013412,2335279,4098855,6029378,6030392,3694099,17438274
candidate,primary_key,1,2013408,2255231,3777923,5707871,5708858,3452640,17611554
candidate,primary_key,2,1853409,2175231,3779229,5709872,5710861,3534641,17617560
candidate,indexed_equality,0,2333426,2495293,3780474,6723155,6724169,4227862,18224571
candidate,indexed_equality,1,1933452,2095275,3618214,6560100,6561114,4464825,18402086
candidate,indexed_equality,2,1693537,1855304,3219070,6559021,6560008,4703717,18400004
candidate,indexed_range,0,2013665,2495532,4098923,6500504,6501518,4004972,18235167
candidate,indexed_range,1,2093636,2255452,3619065,6418730,6419922,4163278,18413020
candidate,indexed_range,2,1853632,1855455,3459140,6419086,6420073,4563631,18410760
candidate,primary_key_in,0,2093432,2335299,3779444,6190147,6191161,3854848,17627376
candidate,primary_key_in,1,1853476,2095298,3378899,5867796,5868810,3772498,17803681
candidate,primary_key_in,2,1693674,1855501,3458421,5787430,5788597,3931929,17802259
candidate,count,0,1773321,2095188,3861945,6039428,6040444,3944240,17660072
candidate,count,1,1693264,1935137,3379812,5635952,5636993,3700815,17753316
candidate,count,2,1853240,2175113,3618712,5796283,5797326,3621170,17753713
candidate,grouped_count,0,2173405,2335272,4020720,6644769,6645783,4309497,18076499
candidate,grouped_count,1,2173402,2335275,3618634,6401229,6402252,4065954,18250637
candidate,grouped_count,2,1933403,2255275,3459904,6484146,6485189,4228871,18252209
