variant,kind,fields,depth,width,repeat,instructions,admitted
baseline,0,1,0,8,0,614,1
baseline,0,1,0,8,1,614,1
baseline,0,1,0,8,2,614,1
baseline,0,16,0,8,0,3284,1
baseline,0,16,0,8,1,3284,1
baseline,0,16,0,8,2,3284,1
baseline,0,64,0,8,0,11828,1
baseline,0,64,0,8,1,11828,1
baseline,0,64,0,8,2,11828,1
baseline,0,254,0,8,0,45648,1
baseline,0,254,0,8,1,45648,1
baseline,0,254,0,8,2,45648,1
baseline,0,64,0,120,0,11828,1
baseline,0,64,0,120,1,11828,1
baseline,0,64,0,120,2,11828,1
baseline,0,254,0,120,0,45648,1
baseline,0,254,0,120,1,45648,1
baseline,0,254,0,120,2,45648,1
baseline,1,1,8,0,0,367171,1
baseline,1,1,8,0,1,367171,1
baseline,1,1,8,0,2,367171,1
baseline,1,16,8,0,0,5867792,1
baseline,1,16,8,0,1,5867792,1
baseline,1,16,8,0,2,5867792,1
baseline,1,64,8,0,0,23469523,1
baseline,1,64,8,0,1,23469523,1
baseline,1,64,8,0,2,23469523,1
baseline,1,254,8,0,0,93143344,1
baseline,1,254,8,0,1,93143344,1
baseline,1,254,8,0,2,93143344,1
baseline,1,1,10,0,0,1469961,1
baseline,1,1,10,0,1,1469961,1
baseline,1,1,10,0,2,1469961,1
baseline,1,16,10,0,0,23512432,1
baseline,1,16,10,0,1,23512432,1
baseline,1,16,10,0,2,23512432,1
baseline,1,64,10,0,0,94048083,1
baseline,1,64,10,0,1,94048083,1
baseline,1,64,10,0,2,94048083,1
baseline,1,254,10,0,0,373252004,1
baseline,1,254,10,0,1,373252004,1
baseline,1,254,10,0,2,373252004,1
baseline,2,1,8,16,0,5868527,1
baseline,2,1,8,16,1,5868527,1
baseline,2,1,8,16,2,5868527,1
baseline,2,16,8,16,0,93888451,1
baseline,2,16,8,16,1,93888451,1
baseline,2,16,8,16,2,93888451,1
baseline,2,64,8,1,0,23527123,1
baseline,2,64,8,1,1,23527123,1
baseline,2,64,8,1,2,23527123,1
baseline,2,1,10,16,0,25306271,1
baseline,2,1,10,16,1,25306271,1
baseline,2,1,10,16,2,25306271,1
baseline,2,8,10,16,0,202446411,1
baseline,2,8,10,16,1,202446411,1
baseline,2,8,10,16,2,202446411,1
candidate,0,1,0,8,0,753,1
candidate,0,1,0,8,1,753,1
candidate,0,1,0,8,2,753,1
candidate,0,16,0,8,0,4128,1
candidate,0,16,0,8,1,4128,1
candidate,0,16,0,8,2,4128,1
candidate,0,64,0,8,0,14928,1
candidate,0,64,0,8,1,14928,1
candidate,0,64,0,8,2,14928,1
candidate,0,254,0,8,0,57678,1
candidate,0,254,0,8,1,57678,1
candidate,0,254,0,8,2,57678,1
candidate,0,64,0,120,0,14928,1
candidate,0,64,0,120,1,14928,1
candidate,0,64,0,120,2,14928,1
candidate,0,254,0,120,0,57678,1
candidate,0,254,0,120,1,57678,1
candidate,0,254,0,120,2,57678,1
candidate,1,1,8,0,0,367310,1
candidate,1,1,8,0,1,367310,1
candidate,1,1,8,0,2,367310,1
candidate,1,16,8,0,0,1471216,0
candidate,1,16,8,0,1,1471216,0
candidate,1,16,8,0,2,1471216,0
candidate,1,64,8,0,0,1471155,0
candidate,1,64,8,0,1,1471155,0
candidate,1,64,8,0,2,1471155,0
candidate,1,254,8,0,0,1471216,0
candidate,1,254,8,0,1,1471216,0
candidate,1,254,8,0,2,1471216,0
candidate,1,1,10,0,0,1470100,1
candidate,1,1,10,0,1,1470100,1
candidate,1,1,10,0,2,1470100,1
candidate,1,16,10,0,0,1471192,0
candidate,1,16,10,0,1,1471192,0
candidate,1,16,10,0,2,1471192,0
candidate,1,64,10,0,0,1471131,0
candidate,1,64,10,0,1,1471131,0
candidate,1,64,10,0,2,1471131,0
candidate,1,254,10,0,0,1471192,0
candidate,1,254,10,0,1,1471192,0
candidate,1,254,10,0,2,1471192,0
candidate,2,1,8,16,0,1471085,0
candidate,2,1,8,16,1,1471085,0
candidate,2,1,8,16,2,1471085,0
candidate,2,16,8,16,0,1471024,0
candidate,2,16,8,16,1,1471024,0
candidate,2,16,8,16,2,1471024,0
candidate,2,64,8,1,0,1473089,0
candidate,2,64,8,1,1,1473089,0
candidate,2,64,8,1,2,1473089,0
candidate,2,1,10,16,0,1583138,0
candidate,2,1,10,16,1,1583138,0
candidate,2,1,10,16,2,1583138,0
candidate,2,8,10,16,0,1583077,0
candidate,2,8,10,16,1,1583077,0
candidate,2,8,10,16,2,1583077,0
