 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────────────────
         552999 ┊     20.36% ┊ table[0]
           7242 ┊      0.27% ┊                           ⤷ code[81]
            631 ┊      0.02% ┊                               ⤷ code[3219]
            553 ┊      0.02% ┊                                   ⤷ code[1213]
            317 ┊      0.01% ┊                               ⤷ code[2002]
            317 ┊      0.01% ┊                               ⤷ code[2003]
            317 ┊      0.01% ┊                               ⤷ code[2004]
            277 ┊      0.01% ┊                               ⤷ code[2189]
            259 ┊      0.01% ┊                               ⤷ code[2260]
            259 ┊      0.01% ┊                               ⤷ code[2261]
            251 ┊      0.01% ┊                               ⤷ code[2288]
            250 ┊      0.01% ┊                               ⤷ code[3220]
            172 ┊      0.01% ┊                                   ⤷ code[2674]
            243 ┊      0.01% ┊                               ⤷ code[2300]
            242 ┊      0.01% ┊                               ⤷ code[2314]
            157 ┊      0.01% ┊                               ⤷ code[2784]
            145 ┊      0.01% ┊                               ⤷ code[2873]
             97 ┊      0.00% ┊                               ⤷ code[3087]
             53 ┊      0.00% ┊                               ⤷ code[3570]
             13 ┊      0.00% ┊                               ⤷ code[4256]
              6 ┊      0.00% ┊                               ⤷ code[4347]
             11 ┊      0.00% ┊                           ⤷ code[4257]
           1379 ┊      0.05% ┊                       ⤷ code[322]
            948 ┊      0.03% ┊                       ⤷ code[605]
            798 ┊      0.03% ┊                       ⤷ code[782]
            644 ┊      0.02% ┊                       ⤷ code[1234]
            120 ┊      0.00% ┊                           ⤷ code[2965]
            541 ┊      0.02% ┊                       ⤷ code[2271]
            266 ┊      0.01% ┊                           ⤷ code[2331]
            473 ┊      0.02% ┊                       ⤷ code[1596]
            306 ┊      0.01% ┊                       ⤷ code[2025]
              5 ┊      0.00% ┊                           ⤷ type[86]: (f32) -> i32
            211 ┊      0.01% ┊                       ⤷ code[2466]
              5 ┊      0.00% ┊                           ⤷ type[6]: (i32) -> f32
            154 ┊      0.01% ┊                       ⤷ code[2716]
            124 ┊      0.00% ┊                       ⤷ code[2942]
            115 ┊      0.00% ┊                       ⤷ code[3017]
            112 ┊      0.00% ┊                       ⤷ code[2998]
            106 ┊      0.00% ┊                       ⤷ code[3040]
             98 ┊      0.00% ┊                       ⤷ code[3114]
           5749 ┊      0.21% ┊                   ⤷ code[102]
           1186 ┊      0.04% ┊                       ⤷ code[2272]
            911 ┊      0.03% ┊                           ⤷ code[652]
            818 ┊      0.03% ┊                       ⤷ code[751]
            321 ┊      0.01% ┊                       ⤷ code[1998]
         367410 ┊     13.52% ┊ [3 Unreachable Items]
