module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	89	1	2	2.00	0	0	1	3	1
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	410	1	3	3.00	11	11	1	2	12
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	437	4	8	2.00	26	26	2	3	30
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	83	0	0	0.00	0	0	0	2	0
db::query::plan::expr	crates/icydb-core/src/db/query/plan/expr/mod.rs	8	0	0	0.00	0	0	0	0	0
db::query::plan::expr::projection	crates/icydb-core/src/db/query/plan/expr/projection.rs	101	5	13	2.60	1	1	1	2	6
db::query::plan::expr::scalar	crates/icydb-core/src/db/query/plan/expr/scalar.rs	111	2	7	3.50	0	0	1	3	2
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	296	9	42	4.67	8	7	2	3	16
db::query::plan::group	crates/icydb-core/src/db/query/plan/group.rs	647	9	26	2.89	1	1	2	3	10
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	40	0	0	0.00	5	5	1	2	5
db::query::plan::key_item_match	crates/icydb-core/src/db/query/plan/key_item_match.rs	124	6	12	2.00	7	7	2	3	13
db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	147	2	4	2.00	4	4	2	2	6
db::query::plan	crates/icydb-core/src/db/query/plan/mod.rs	149	1	2	2.00	1	1	1	3	2
db::query::plan::model	crates/icydb-core/src/db/query/plan/model.rs	349	4	18	4.50	5	4	2	3	8
db::query::plan::model_builder	crates/icydb-core/src/db/query/plan/model_builder.rs	56	0	0	0.00	0	0	0	1	0
db::query::plan::order_contract	crates/icydb-core/src/db/query/plan/order_contract.rs	195	3	7	2.33	3	3	1	1	6
db::query::plan::order_term	crates/icydb-core/src/db/query/plan/order_term.rs	48	3	5	1.67	3	3	1	1	6
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	311	6	21	3.50	23	23	3	3	29
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	417	18	60	3.33	19	18	3	3	36
db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	88	0	0	0.00	2	2	1	4	2
db::query::plan::planner::order_select	crates/icydb-core/src/db/query/plan/planner/order_select.rs	37	0	0	0.00	1	1	1	3	1
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	153	1	5	5.00	5	5	2	4	6
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	228	3	8	2.67	9	9	2	3	12
db::query::plan::planner::range::bounds	crates/icydb-core/src/db/query/plan/planner/range/bounds.rs	121	7	24	3.43	7	7	2	2	14
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	344	10	30	3.00	22	22	3	3	32
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range/mod.rs	32	0	0	0.00	0	0	0	2	0
db::query::plan::planner::ranking	crates/icydb-core/src/db/query/plan/planner/ranking.rs	57	0	0	0.00	3	3	1	2	3
db::query::plan::projection	crates/icydb-core/src/db/query/plan/projection.rs	108	5	10	2.00	0	0	1	2	5
db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	144	3	19	6.33	0	0	1	2	3
db::query::plan::semantics::group_distinct	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	257	4	17	4.25	8	8	1	2	12
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	67	1	2	2.00	3	3	1	1	4
db::query::plan::semantics::group_model	crates/icydb-core/src/db/query/plan/semantics/group_model.rs	147	1	3	3.00	0	0	1	4	1
db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	256	3	10	3.33	11	11	1	1	14
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	561	13	30	2.31	11	11	2	3	24
db::query::plan::semantics	crates/icydb-core/src/db/query/plan/semantics/mod.rs	26	0	0	0.00	0	0	0	0	0
db::query::plan::semantics::pushdown	crates/icydb-core/src/db/query/plan/semantics/pushdown.rs	44	0	0	0.00	0	0	0	1	0
db::query::plan::validate::core	crates/icydb-core/src/db/query/plan/validate/core.rs	142	1	2	2.00	5	5	1	2	6
db::query::plan::validate::cursor_policy	crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs	28	2	6	3.00	0	0	1	1	2
db::query::plan::validate::errors	crates/icydb-core/src/db/query/plan/validate/errors.rs	548	2	4	2.00	3	3	1	1	5
db::query::plan::validate::fluent_policy	crates/icydb-core/src/db/query/plan/validate/fluent_policy.rs	79	1	2	2.00	0	0	1	1	1
db::query::plan::validate::grouped::cursor	crates/icydb-core/src/db/query/plan/validate/grouped/cursor/mod.rs	28	0	0	0.00	0	0	0	1	0
db::query::plan::validate::grouped	crates/icydb-core/src/db/query/plan/validate/grouped/mod.rs	10	0	0	0.00	0	0	0	0	0
db::query::plan::validate::grouped::policy	crates/icydb-core/src/db/query/plan/validate/grouped/policy/mod.rs	95	2	5	2.50	0	0	1	1	2
db::query::plan::validate::grouped::policy::rules	crates/icydb-core/src/db/query/plan/validate/grouped/policy/rules.rs	171	0	0	0.00	0	0	0	1	0
db::query::plan::validate::grouped::projection_expr	crates/icydb-core/src/db/query/plan/validate/grouped/projection_expr/mod.rs	52	2	2	1.00	0	0	1	1	2
db::query::plan::validate::grouped::structure	crates/icydb-core/src/db/query/plan/validate/grouped/structure/mod.rs	126	2	5	2.50	1	1	1	2	3
db::query::plan::validate::intent_policy	crates/icydb-core/src/db/query/plan/validate/intent_policy.rs	122	0	0	0.00	1	1	1	1	1
db::query::plan::validate	crates/icydb-core/src/db/query/plan/validate/mod.rs	66	0	0	0.00	0	0	0	0	0
db::query::plan::validate::order	crates/icydb-core/src/db/query/plan/validate/order.rs	72	0	0	0.00	4	4	1	2	4
db::query::plan::validate::plan_shape	crates/icydb-core/src/db/query/plan/validate/plan_shape.rs	118	1	2	2.00	3	3	1	1	4
db::query::plan::validate::symbols	crates/icydb-core/src/db/query/plan/validate/symbols.rs	34	0	0	0.00	0	0	0	2	0
db::query::trace	crates/icydb-core/src/db/query/trace.rs	41	0	0	0.00	0	0	0	1	0
db::reduced_sql::cursor	crates/icydb-core/src/db/reduced_sql/cursor.rs	194	3	24	8.00	14	14	1	2	17
db::reduced_sql::lexer	crates/icydb-core/src/db/reduced_sql/lexer.rs	248	4	67	16.75	57	56	2	1	60
db::reduced_sql	crates/icydb-core/src/db/reduced_sql/mod.rs	7	0	0	0.00	0	0	0	0	0
db::reduced_sql::types	crates/icydb-core/src/db/reduced_sql/types.rs	201	2	61	30.50	4	4	1	2	6
db::registry	crates/icydb-core/src/db/registry.rs	185	1	2	2.00	2	2	1	4	3
db::relation::metadata	crates/icydb-core/src/db/relation/metadata.rs	103	1	2	2.00	0	0	1	2	1
db::relation	crates/icydb-core/src/db/relation/mod.rs	117	2	5	2.50	1	1	2	4	3
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	552	10	30	3.00	9	9	2	5	19
db::relation::save_validate	crates/icydb-core/src/db/relation/save_validate.rs	84	0	0	0.00	1	1	1	4	1
db::relation::validate	crates/icydb-core/src/db/relation/validate.rs	172	0	0	0.00	3	3	1	6	3
db::response::grouped	crates/icydb-core/src/db/response/grouped.rs	110	0	0	0.00	0	0	0	2	0
db::response	crates/icydb-core/src/db/response/mod.rs	211	0	0	0.00	0	0	0	3	0
db::response::paged	crates/icydb-core/src/db/response/paged.rs	104	0	0	0.00	0	0	0	2	0
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	463	26	147	5.65	6	5	2	5	31
db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	424	4	34	8.50	1	1	1	1	5
db::schema::errors	crates/icydb-core/src/db/schema/errors.rs	95	0	0	0.00	0	0	0	2	0
db::schema::fingerprint	crates/icydb-core/src/db/schema/fingerprint.rs	107	3	6	2.00	0	0	2	3	3
db::schema::format	crates/icydb-core/src/db/schema/format.rs	35	1	2	2.00	1	1	1	2	2
db::schema::info	crates/icydb-core/src/db/schema/info.rs	77	0	0	0.00	1	1	1	2	1
db::schema	crates/icydb-core/src/db/schema/mod.rs	20	0	0	0.00	0	0	0	0	0
db::schema::types	crates/icydb-core/src/db/schema/types.rs	225	14	56	4.00	1	1	3	3	15
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	298	4	19	4.75	20	20	2	2	24
db::session	crates/icydb-core/src/db/session/mod.rs	287	1	3	3.00	3	3	1	6	4
db::session::query	crates/icydb-core/src/db/session/query.rs	372	4	9	2.25	2	2	1	3	6
db::session::sql::computed_projection::eval	crates/icydb-core/src/db/session/sql/computed_projection/eval.rs	63	0	0	0.00	2	2	1	1	2
db::session::sql::computed_projection	crates/icydb-core/src/db/session/sql/computed_projection/mod.rs	37	0	0	0.00	0	0	0	1	0
db::session::sql::computed_projection::model	crates/icydb-core/src/db/session/sql/computed_projection/model.rs	107	1	14	14.00	0	0	1	2	1
db::session::sql::computed_projection::plan	crates/icydb-core/src/db/session/sql/computed_projection/plan.rs	306	7	26	3.71	18	18	3	2	25
db::session::sql::execute::computed	crates/icydb-core/src/db/session/sql/execute/computed.rs	93	0	0	0.00	1	1	1	2	1
db::session::sql::execute::lowered	crates/icydb-core/src/db/session/sql/execute/lowered.rs	175	0	0	0.00	0	0	0	2	0
db::session::sql::execute	crates/icydb-core/src/db/session/sql/execute/mod.rs	1166	25	84	3.36	40	39	3	6	64
db::session::sql::explain	crates/icydb-core/src/db/session/sql/explain.rs	187	4	17	4.25	4	4	1	2	8
db::session::sql	crates/icydb-core/src/db/session/sql/mod.rs	221	4	22	5.50	4	4	2	2	8
