enum	variants	definition_file	definition_line	switch_sites	switch_site_examples
PlanError	3	crates/icydb-core/src/db/query/plan/validate/errors.rs	19	11	db::error::planner::from_group_plan_error::34;db::error::planner::from_group_plan_error::35;db::error::planner::from_group_plan_error::41;db::query::plan::expr::type_inference::infer_binary_expr_type::197;db::query::plan::expr::type_inference::infer_unary_expr_type::162;db::query::plan::validate::core::validate_group_query_semantics::72;db::query::plan::validate::grouped::policy::validate_global_distinct_aggregate_without_group_keys::92;db::query::plan::validate::grouped::policy::validate_grouped_distinct_policy::43
QueryError	5	crates/icydb-core/src/db/query/intent/errors.rs	25	9	db::query::intent::model::sort_expr::88;db::session::map_executor_plan_error::34;db::session::query::execute_load_query_paged_with_trace::115;db::session::query::execute_query::25;db::session::query::trace_query::63;db::session::sql::execute_sql_projection::135;db::session::sql::explain_sql::256;db::session::sql::map_sql_lowering_error::23
ErrorClass	7	crates/icydb-core/src/error/mod.rs	483	11	db::commit::prepare::prepare_row_commit_for_entity_impl::64;db::diagnostics::classify_scan_error::888;db::executor::class::181;db::query::intent::errors::assert_execute_variant_for_class::230;db::query::intent::errors::from::95;db::registry::class::34;db::session::sql::execute_sql_projection::135;db::session::sql::explain_sql::256
CursorPlanError	9	crates/icydb-core/src/db/cursor/error.rs	22	7	db::cursor::anchor::validate_index_range_boundary_anchor_consistency::281;db::cursor::boundary::decode_typed_primary_key_cursor_slot::254;db::cursor::boundary::validate_cursor_boundary_types::178;db::cursor::map_pk_cursor_decode_error::164;db::cursor::validated_cursor_order_internal::263;db::cursor::validation::validate_cursor_compatibility::42;db::error::cursor::from_cursor_plan_error::27
AccessPath	7	crates/icydb-core/src/db/access/path.rs	118	2	db::access::dispatch::dispatch_access_path::80;db::access::path::map_keys::242
AccessPathKind	7	crates/icydb-core/src/db/access/dispatch.rs	50	5	db::access::capabilities::derive_access_path_capabilities::372;db::access::dispatch::kind::63;db::access::execution_contract::executable::kind::66;db::diagnostics::execution_trace::access_path_variant::330;db::diagnostics::execution_trace::access_path_variant::331
PlanPolicyError	2	crates/icydb-core/src/db/query/plan/validate/errors.rs	81	3	db::error::planner::from_group_plan_error::34;db::error::planner::from_group_plan_error::35;db::error::planner::from_group_plan_error::41
PolicyPlanError	7	crates/icydb-core/src/db/query/plan/validate/errors.rs	121	1	db::error::planner::plan_invariant_violation::59
Predicate	13	crates/icydb-core/src/db/predicate/model.rs	18	25	db::predicate::encoding::encode_predicate_sort_key_into::46;db::predicate::encoding::hash_predicate_fingerprint::271;db::predicate::normalize::normalize::37;db::predicate::normalize::normalize_and::335;db::predicate::normalize::normalize_enum_literals::86;db::predicate::normalize::normalize_not::311;db::predicate::normalize::normalize_or::381;db::predicate::normalize::predicate_eval_cost_rank::408
PreparedIndexDeltaKind	5	crates/icydb-core/src/db/commit/prepared_op.rs	35	1	db::executor::mutation::commit_window::summarize_prepared_row_ops::216
StoreError	3	crates/icydb-core/src/error/mod.rs	453	1	error::new::133
RouteShapeKind	5	crates/icydb-core/src/db/executor/route/contracts/shape.rs	89	3	db::executor::route::planner::execution::derive_route_execution_stage::80;db::executor::route::planner::execution::shape_aggregate_count::build_execution_stage_for_aggregate_count::46;db::executor::route::planner::intent::route_shape_kind_for_intent::21
