 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        1586405 ┊     74.56% ┊ table[0]
            448 ┊      0.02% ┊                       ⤷ code[2886]
            425 ┊      0.02% ┊                       ⤷ code[4263]
            171 ┊      0.01% ┊                           ⤷ code[4264]
            398 ┊      0.02% ┊                       ⤷ code[4833]
            368 ┊      0.02% ┊                       ⤷ code[4827]
            351 ┊      0.02% ┊                       ⤷ code[4200]
            344 ┊      0.02% ┊                       ⤷ code[4832]
            269 ┊      0.01% ┊                       ⤷ code[4607]
            266 ┊      0.01% ┊                       ⤷ code[4540]
            240 ┊      0.01% ┊                       ⤷ code[4364]
            222 ┊      0.01% ┊                       ⤷ code[2792]
            213 ┊      0.01% ┊                       ⤷ code[4188]
            212 ┊      0.01% ┊                       ⤷ code[4577]
            209 ┊      0.01% ┊                       ⤷ code[4201]
            196 ┊      0.01% ┊                       ⤷ code[4536]
            183 ┊      0.01% ┊                       ⤷ code[2800]
            178 ┊      0.01% ┊                       ⤷ code[2878]
            169 ┊      0.01% ┊                       ⤷ code[4599]
            169 ┊      0.01% ┊                       ⤷ code[4613]
            169 ┊      0.01% ┊                       ⤷ code[4626]
            159 ┊      0.01% ┊                       ⤷ code[4459]
            159 ┊      0.01% ┊                       ⤷ code[4826]
            155 ┊      0.01% ┊                       ⤷ code[4216]
            151 ┊      0.01% ┊                       ⤷ code[4594]
            142 ┊      0.01% ┊                       ⤷ code[4611]
            139 ┊      0.01% ┊                       ⤷ code[4610]
            133 ┊      0.01% ┊                       ⤷ code[4360]
            131 ┊      0.01% ┊                       ⤷ code[4537]
            121 ┊      0.01% ┊                       ⤷ code[4689]
            119 ┊      0.01% ┊                       ⤷ code[2874]
            119 ┊      0.01% ┊                       ⤷ code[2883]
            107 ┊      0.01% ┊                       ⤷ code[4604]
            100 ┊      0.00% ┊                       ⤷ code[4831]
             93 ┊      0.00% ┊                       ⤷ code[4265]
             85 ┊      0.00% ┊                       ⤷ code[4406]
             83 ┊      0.00% ┊                       ⤷ code[4189]
             80 ┊      0.00% ┊                       ⤷ code[4444]
             79 ┊      0.00% ┊                       ⤷ code[2881]
             78 ┊      0.00% ┊                       ⤷ code[4539]
             77 ┊      0.00% ┊                       ⤷ code[2801]
             75 ┊      0.00% ┊                       ⤷ code[4825]
             71 ┊      0.00% ┊                       ⤷ code[4618]
             67 ┊      0.00% ┊                       ⤷ code[2882]
             63 ┊      0.00% ┊                       ⤷ code[4282]
             60 ┊      0.00% ┊                       ⤷ code[4270]
         104982 ┊      4.93% ┊ [118 Unreachable Items]
