 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
         685188 ┊     17.86% ┊ table[0]
             71 ┊      0.00% ┊                       ⤷ code[7670]
             63 ┊      0.00% ┊                       ⤷ code[7052]
             60 ┊      0.00% ┊                       ⤷ code[7017]
             33 ┊      0.00% ┊                       ⤷ code[8570]
             17 ┊      0.00% ┊                       ⤷ code[5103]
             14 ┊      0.00% ┊                       ⤷ code[8572]
          32261 ┊      0.84% ┊                   ⤷ code[8524]
           2233 ┊      0.06% ┊                       ⤷ code[7202]
            240 ┊      0.01% ┊                           ⤷ code[7147]
           1345 ┊      0.04% ┊                       ⤷ code[7161]
            834 ┊      0.02% ┊                       ⤷ code[7053]
            524 ┊      0.01% ┊                       ⤷ code[8469]
             61 ┊      0.00% ┊                           ⤷ code[6798]
            480 ┊      0.01% ┊                       ⤷ code[6765]
            463 ┊      0.01% ┊                       ⤷ code[8472]
            386 ┊      0.01% ┊                       ⤷ code[8562]
             15 ┊      0.00% ┊                           ⤷ code[6795]
            300 ┊      0.01% ┊                       ⤷ code[6745]
            284 ┊      0.01% ┊                       ⤷ code[7149]
            212 ┊      0.01% ┊                       ⤷ code[6764]
            211 ┊      0.01% ┊                       ⤷ code[6761]
            210 ┊      0.01% ┊                       ⤷ code[6766]
            153 ┊      0.00% ┊                       ⤷ code[8547]
             85 ┊      0.00% ┊                       ⤷ code[6744]
             83 ┊      0.00% ┊                       ⤷ code[6747]
             75 ┊      0.00% ┊                       ⤷ code[8561]
             62 ┊      0.00% ┊                       ⤷ code[8546]
             61 ┊      0.00% ┊                       ⤷ code[8544]
             38 ┊      0.00% ┊                       ⤷ code[8539]
             25 ┊      0.00% ┊                       ⤷ code[8556]
             25 ┊      0.00% ┊                       ⤷ code[8558]
             16 ┊      0.00% ┊                       ⤷ code[6735]
             15 ┊      0.00% ┊                       ⤷ code[7054]
             12 ┊      0.00% ┊                       ⤷ code[6730]
             12 ┊      0.00% ┊                       ⤷ code[6734]
           4963 ┊      0.13% ┊                   ⤷ code[7163]
            478 ┊      0.01% ┊                       ⤷ code[7166]
            469 ┊      0.01% ┊                       ⤷ code[7167]
            164 ┊      0.00% ┊                           ⤷ code[7177]
            250 ┊      0.01% ┊                       ⤷ code[7173]
            165 ┊      0.00% ┊                       ⤷ code[7165]
            147 ┊      0.00% ┊                       ⤷ code[7170]
            133 ┊      0.00% ┊                       ⤷ code[7174]
             92 ┊      0.00% ┊                       ⤷ code[7168]
         169772 ┊      4.43% ┊ [223 Unreachable Items]
