 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
        1562091 ┊     80.27% ┊ table[0]
            448 ┊      0.02% ┊                       ⤷ code[2374]
            427 ┊      0.02% ┊                       ⤷ code[4320]
             59 ┊      0.00% ┊                           ⤷ code[3712]
            425 ┊      0.02% ┊                       ⤷ code[3765]
            171 ┊      0.01% ┊                           ⤷ code[3766]
            398 ┊      0.02% ┊                       ⤷ code[4326]
            351 ┊      0.02% ┊                       ⤷ code[3701]
            344 ┊      0.02% ┊                       ⤷ code[4325]
            269 ┊      0.01% ┊                       ⤷ code[4109]
            266 ┊      0.01% ┊                       ⤷ code[4042]
            240 ┊      0.01% ┊                       ⤷ code[3866]
            222 ┊      0.01% ┊                       ⤷ code[2280]
            213 ┊      0.01% ┊                       ⤷ code[3688]
            212 ┊      0.01% ┊                       ⤷ code[4079]
            209 ┊      0.01% ┊                       ⤷ code[3702]
            208 ┊      0.01% ┊                       ⤷ code[3700]
            196 ┊      0.01% ┊                       ⤷ code[4038]
            183 ┊      0.01% ┊                       ⤷ code[2288]
            178 ┊      0.01% ┊                       ⤷ code[2366]
            169 ┊      0.01% ┊                       ⤷ code[4101]
            169 ┊      0.01% ┊                       ⤷ code[4115]
            169 ┊      0.01% ┊                       ⤷ code[4128]
            159 ┊      0.01% ┊                       ⤷ code[3961]
            159 ┊      0.01% ┊                       ⤷ code[4319]
            155 ┊      0.01% ┊                       ⤷ code[3718]
            151 ┊      0.01% ┊                       ⤷ code[4096]
            142 ┊      0.01% ┊                       ⤷ code[4113]
            139 ┊      0.01% ┊                       ⤷ code[4112]
            133 ┊      0.01% ┊                       ⤷ code[3675]
            133 ┊      0.01% ┊                       ⤷ code[3862]
            131 ┊      0.01% ┊                       ⤷ code[4039]
            121 ┊      0.01% ┊                       ⤷ code[4182]
            119 ┊      0.01% ┊                       ⤷ code[2362]
            119 ┊      0.01% ┊                       ⤷ code[2371]
            107 ┊      0.01% ┊                       ⤷ code[4106]
            100 ┊      0.01% ┊                       ⤷ code[4324]
             93 ┊      0.00% ┊                       ⤷ code[3767]
             85 ┊      0.00% ┊                       ⤷ code[3908]
             83 ┊      0.00% ┊                       ⤷ code[3687]
             83 ┊      0.00% ┊                       ⤷ code[3689]
             80 ┊      0.00% ┊                       ⤷ code[3946]
             79 ┊      0.00% ┊                       ⤷ code[2369]
             78 ┊      0.00% ┊                       ⤷ code[4041]
             77 ┊      0.00% ┊                       ⤷ code[2289]
             75 ┊      0.00% ┊                       ⤷ code[4318]
          91892 ┊      4.72% ┊ [95 Unreachable Items]
