 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────
         160263 ┊     24.29% ┊ export "canister_query icydb_snapshot"
            268 ┊      0.04% ┊                   ⤷ code[419]
            218 ┊      0.03% ┊                   ⤷ code[433]
            181 ┊      0.03% ┊                   ⤷ code[526]
            176 ┊      0.03% ┊                   ⤷ code[540]
            148 ┊      0.02% ┊                   ⤷ code[550]
            131 ┊      0.02% ┊                   ⤷ code[662]
            123 ┊      0.02% ┊                   ⤷ code[694]
            108 ┊      0.02% ┊                   ⤷ code[807]
             98 ┊      0.01% ┊                   ⤷ code[886]
             94 ┊      0.01% ┊                   ⤷ code[856]
             89 ┊      0.01% ┊                   ⤷ code[838]
             75 ┊      0.01% ┊                   ⤷ code[1003]
             65 ┊      0.01% ┊                   ⤷ code[1147]
             62 ┊      0.01% ┊                   ⤷ code[1144]
              6 ┊      0.00% ┊                       ⤷ type[66]: (f32, f32) -> i32
             62 ┊      0.01% ┊                   ⤷ code[1145]
              6 ┊      0.00% ┊                       ⤷ type[67]: (f64, f64) -> i32
             55 ┊      0.01% ┊                   ⤷ code[1348]
              5 ┊      0.00% ┊                       ⤷ type[53]: (i64) -> i64
             51 ┊      0.01% ┊                   ⤷ code[1294]
             50 ┊      0.01% ┊                   ⤷ code[1300]
             48 ┊      0.01% ┊                   ⤷ code[1201]
             39 ┊      0.01% ┊                   ⤷ code[1453]
             37 ┊      0.01% ┊                   ⤷ code[1402]
             31 ┊      0.00% ┊                   ⤷ code[1466]
             26 ┊      0.00% ┊                   ⤷ code[1497]
             24 ┊      0.00% ┊                   ⤷ code[1610]
             24 ┊      0.00% ┊                   ⤷ code[1647]
             16 ┊      0.00% ┊                   ⤷ code[1778]
             15 ┊      0.00% ┊                   ⤷ code[1787]
             12 ┊      0.00% ┊                   ⤷ code[1841]
              9 ┊      0.00% ┊                   ⤷ code[1866]
              7 ┊      0.00% ┊                   ⤷ type[46]: (i32, i64, i64, i32) -> nil
           6734 ┊      1.02% ┊               ⤷ code[240]
           6272 ┊      0.95% ┊                   ⤷ code[25]
           1313 ┊      0.20% ┊                       ⤷ code[162]
            636 ┊      0.10% ┊                           ⤷ code[178]
            459 ┊      0.07% ┊                       ⤷ code[226]
            405 ┊      0.06% ┊                       ⤷ code[269]
            356 ┊      0.05% ┊                       ⤷ code[294]
            305 ┊      0.05% ┊                       ⤷ code[360]
            107 ┊      0.02% ┊                       ⤷ code[836]
            100 ┊      0.02% ┊                       ⤷ code[855]
           6279 ┊      0.95% ┊               ⤷ code[620]
           6116 ┊      0.93% ┊                   ⤷ code[26]
           1262 ┊      0.19% ┊                       ⤷ code[172]
         102157 ┊     15.48% ┊ [5 Unreachable Items]
