 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼─────────────────────────────────────────────────
         702047 ┊     45.15% ┊ table[0]
             22 ┊      0.00% ┊               ⤷ code[3374]
             22 ┊      0.00% ┊               ⤷ code[3375]
          41661 ┊      2.68% ┊           ⤷ code[0]
           2919 ┊      0.19% ┊               ⤷ code[1486]
           2799 ┊      0.18% ┊                   ⤷ code[203]
           1626 ┊      0.10% ┊                       ⤷ code[138]
             31 ┊      0.00% ┊                       ⤷ code[2973]
           2919 ┊      0.19% ┊               ⤷ code[1487]
           2799 ┊      0.18% ┊                   ⤷ code[202]
           1626 ┊      0.10% ┊                       ⤷ code[137]
             31 ┊      0.00% ┊                       ⤷ code[2972]
           1918 ┊      0.12% ┊               ⤷ code[129]
            233 ┊      0.01% ┊                   ⤷ code[940]
           1475 ┊      0.09% ┊               ⤷ code[196]
             64 ┊      0.00% ┊                   ⤷ code[2480]
             63 ┊      0.00% ┊                   ⤷ code[2481]
             63 ┊      0.00% ┊                   ⤷ code[2482]
           1377 ┊      0.09% ┊               ⤷ code[198]
           1267 ┊      0.08% ┊               ⤷ code[218]
            663 ┊      0.04% ┊               ⤷ code[364]
            460 ┊      0.03% ┊               ⤷ code[513]
            453 ┊      0.03% ┊               ⤷ code[548]
            422 ┊      0.03% ┊               ⤷ code[543]
            372 ┊      0.02% ┊               ⤷ code[710]
            332 ┊      0.02% ┊               ⤷ code[727]
            282 ┊      0.02% ┊               ⤷ code[1072]
             83 ┊      0.01% ┊                   ⤷ code[1948]
            271 ┊      0.02% ┊               ⤷ code[847]
            261 ┊      0.02% ┊               ⤷ code[857]
            256 ┊      0.02% ┊               ⤷ code[877]
            246 ┊      0.02% ┊               ⤷ code[952]
            227 ┊      0.01% ┊               ⤷ code[946]
            225 ┊      0.01% ┊               ⤷ code[1006]
            213 ┊      0.01% ┊               ⤷ code[954]
            212 ┊      0.01% ┊               ⤷ code[953]
            211 ┊      0.01% ┊               ⤷ code[980]
            171 ┊      0.01% ┊               ⤷ code[1196]
            156 ┊      0.01% ┊               ⤷ code[1312]
            153 ┊      0.01% ┊               ⤷ code[1366]
            138 ┊      0.01% ┊               ⤷ code[1446]
            137 ┊      0.01% ┊               ⤷ code[1445]
            137 ┊      0.01% ┊               ⤷ code[1447]
         185338 ┊     11.92% ┊ [3 Unreachable Items]
